fCnt,data,adr,dr,frequency
0,OTAA,True,0,915800000
1,OTAA,True,5,916600000
2,OTAA,True,5,915800000
3,OTAA,True,5,916200000
4,OTAA,True,5,915600000
5,OTAA,True,5,915800000
6,OTAA,True,5,916600000
7,OTAA,True,5,915800000
8,OTAA,True,5,916000000
9,OTAA,True,5,915400000
10,OTAA,True,5,915200000
11,OTAA,True,5,916600000
12,OTAA,True,5,915800000
13,OTAA,True,5,915200000
14,OTAA,True,5,915800000
0,OTAA,True,0,916400000
1,OTAA,True,5,915200000
2,OTAA,True,5,915800000
3,OTAA,True,5,916200000
4,OTAA,True,5,915200000
5,OTAA,True,5,915800000
6,OTAA,True,5,915400000
7,OTAA,True,5,916600000
8,OTAA,True,5,916400000
9,OTAA,True,5,915600000
10,OTAA,True,5,915200000
11,OTAA,True,5,915800000
12,OTAA,True,5,915200000
13,OTAA,True,5,916200000
14,OTAA,True,5,915200000
0,OTAA,True,0,916600000
1,OTAA,True,5,916200000
2,OTAA,True,5,915600000
3,OTAA,True,5,915400000
4,OTAA,True,5,915800000
5,OTAA,True,5,915200000
6,OTAA,True,5,915800000
7,OTAA,True,5,916000000
8,OTAA,True,5,916400000
9,OTAA,True,5,916200000
10,OTAA,True,5,916400000
11,OTAA,True,5,916000000
12,OTAA,True,5,915400000
13,OTAA,True,5,916000000
14,OTAA,True,5,915400000
15,OTAA,True,5,915800000
0,OTAA,True,0,916000000
1,OTAA,True,5,915800000
2,OTAA,True,5,916400000
3,OTAA,True,5,916000000
4,OTAA,True,5,915200000
5,OTAA,True,5,916400000
6,OTAA,True,5,916000000
7,OTAA,True,5,916200000
8,OTAA,True,5,915600000
9,OTAA,True,5,916400000
10,OTAA,True,5,915600000
11,OTAA,True,5,915400000
12,OTAA,True,5,916000000
13,OTAA,True,5,915800000
14,OTAA,True,5,915200000
0,OTAA,True,0,915200000
1,OTAA,True,5,915800000
2,OTAA,True,5,915200000
3,OTAA,True,5,915800000
4,OTAA,True,5,915200000
5,OTAA,True,5,916600000
6,OTAA,True,5,916200000
7,OTAA,True,5,916400000
8,OTAA,True,5,915800000
9,OTAA,True,5,916200000
10,OTAA,True,5,915200000
11,OTAA,True,5,915800000
12,OTAA,True,5,916000000
13,OTAA,True,5,916400000
14,OTAA,True,5,916600000
15,OTAA,True,5,915800000
16,OTAA,True,5,915600000
17,OTAA,True,5,916000000
18,OTAA,True,5,916200000
19,OTAA,True,5,916400000
0,OTAA,True,0,915400000
1,OTAA,True,1,915200000
3,OTAA,True,3,915600000
4,OTAA,True,3,915400000
5,OTAA,True,5,915600000
6,OTAA,True,5,915200000
7,OTAA,True,5,916400000
8,OTAA,True,5,916600000
9,OTAA,True,5,915200000
10,OTAA,True,5,916400000
11,OTAA,True,5,916600000
12,OTAA,True,5,915800000
13,OTAA,True,5,915600000
14,OTAA,True,5,916200000
15,OTAA,True,5,915800000
16,OTAA,True,5,916400000
0,OTAA,True,0,915600000
1,OTAA,True,5,915400000
2,OTAA,True,5,915200000
3,OTAA,True,5,916600000
4,OTAA,True,5,915200000
5,OTAA,True,5,915600000
6,OTAA,True,5,915200000
7,OTAA,True,5,916000000
8,OTAA,True,5,916200000
9,OTAA,True,5,916600000
10,OTAA,True,5,915200000
11,OTAA,True,5,916200000
12,OTAA,True,5,916400000
13,OTAA,True,5,916200000
14,OTAA,True,5,916400000
15,OTAA,True,5,915800000
0,OTAA,True,0,916200000
1,OTAA,True,5,915800000
