fCnt,freq,bw,sf,cr,rssi,channel,timestamp
0,915800000,125,12,4/5,-31,3,2546614220
1,916600000,125,7,4/5,-35,7,2553014916
2,915800000,125,7,4/5,-32,3,2559090323
3,916200000,125,7,4/5,-33,5,2565165764
4,915600000,125,7,4/5,-34,2,2571241211
5,915800000,125,7,4/5,-34,3,2577316691
6,916600000,125,7,4/5,-37,7,2583392132
7,915800000,125,7,4/5,-34,3,2589464851
8,916000000,125,7,4/5,-33,4,2598906131
9,915400000,125,7,4/5,-34,1,2608539347
10,915200000,125,7,4/5,-36,0,2617927155
11,916600000,125,7,4/5,-35,7,2627705012
12,915800000,125,7,4/5,-34,3,2636897899
13,915200000,125,7,4/5,-36,0,2645221963
14,915800000,125,7,4/5,-36,3,2653816251
0,916400000,125,12,4/5,-79,6,2734262220
1,915200000,125,7,4/5,-71,0,2740662915
2,915800000,125,7,4/5,-72,3,2746738323
3,916200000,125,7,4/5,-70,5,2752813788
4,915200000,125,7,4/5,-79,0,2758889211
5,915800000,125,7,4/5,-78,3,2764964643
6,915400000,125,7,4/5,-81,1,2771040067
7,916600000,125,7,4/5,-77,7,2777112796
8,916400000,125,7,4/5,-78,6,2785655860
9,915600000,125,7,4/5,-78,2,2793612315
10,915200000,125,7,4/5,-79,0,2802510771
11,915800000,125,7,4/5,-81,3,2811692147
12,915200000,125,7,4/5,-79,0,2820207251
13,916200000,125,7,4/5,-77,5,2829164244
14,915200000,125,7,4/5,-78,0,2838920395
0,916600000,125,12,4/5,-85,7,2881619284
1,916200000,125,7,4/5,-75,5,2888019996
2,915600000,125,7,4/5,-75,2,2894095403
3,915400000,125,7,4/5,-75,1,2900170843
4,915800000,125,7,4/5,-79,3,2906246283
5,915200000,125,7,4/5,-82,0,2912321699
6,915800000,125,7,4/5,-78,3,2918397131
7,916000000,125,7,4/5,-83,4,2924469851
8,916400000,125,7,4/5,-81,6,2933991692
9,916200000,125,7,4/5,-78,5,2941927036
10,916400000,125,7,4/5,-81,6,2950738300
11,916000000,125,7,4/5,-84,4,2959479891
12,915400000,125,7,4/5,-83,1,2968958027
13,916000000,125,7,4/5,-101,4,2977419499
14,915400000,125,7,4/5,-87,1,2985757531
15,915800000,125,7,4/5,-79,3,2993825659
0,916000000,125,12,4/5,-84,4,3032449212
1,915800000,125,7,4/5,-84,3,3038849883
2,916400000,125,7,4/5,-85,6,3044925316
3,916000000,125,7,4/5,-85,4,3051000763
4,915200000,125,7,4/5,-84,0,3057076203
5,916400000,125,7,4/5,-84,6,3063151652
6,916000000,125,7,4/5,-83,4,3069227083
7,916200000,125,7,4/5,-83,5,3075299812
8,915600000,125,7,4/5,-80,2,3084198507
9,916400000,125,7,4/5,-84,6,3092251372
10,915600000,125,7,4/5,-81,2,3101128379
11,915400000,125,7,4/5,-84,1,3109750579
12,916000000,125,7,4/5,-83,4,3117736115
13,915800000,125,7,4/5,-83,3,3126158339
14,915200000,125,7,4/5,-83,0,3136032171
0,915200000,125,12,4/5,-87,0,3196630380
1,915800000,125,7,4/5,-90,3,3203031091
2,915200000,125,7,4/5,-90,0,3209106499
3,915800000,125,7,4/5,-89,3,3215181915
4,915200000,125,7,4/5,-90,0,3221257339
5,916600000,125,7,4/5,-91,7,3227332796
6,916200000,125,7,4/5,-88,5,3233408284
7,916400000,125,7,4/5,-89,6,3239481020
8,915800000,125,7,4/5,-87,3,3247515915
9,916200000,125,7,4/5,-90,5,3256121428
10,915200000,125,7,4/5,-91,0,3265506403
11,915800000,125,7,4/5,-90,3,3275120875
12,916000000,125,7,4/5,-91,4,3284249851
13,916400000,125,7,4/5,-86,6,3293249164
14,916600000,125,7,4/5,-93,7,3302947620
15,915800000,125,7,4/5,-87,3,3312250483
16,915600000,125,7,4/5,-88,2,3321157915
17,916000000,125,7,4/5,-87,4,3330257683
18,916200000,125,7,4/5,-87,5,3340002620
19,916400000,125,7,4/5,-90,6,3349701116
0,915400000,125,12,4/5,-103,1,3396205540
1,915200000,125,11,4/5,-103,0,3403296164
3,915600000,125,9,4/5,-102,2,3419396444
4,915400000,125,9,4/5,-93,1,3425608892
5,915600000,125,7,4/5,-93,2,3431713259
6,915200000,125,7,4/5,-97,0,3437788691
7,916400000,125,7,4/5,-94,6,3443864148
8,916600000,125,7,4/5,-95,7,3449939612
9,915200000,125,7,4/5,-95,0,3456015035
10,916400000,125,7,4/5,-94,6,3462090484
11,916600000,125,7,4/5,-88,7,3468167116
12,915800000,125,7,4/5,-87,3,3474242571
13,915600000,125,7,4/5,-85,2,3480317995
14,916200000,125,7,4/5,-84,5,3486390724
15,915800000,125,7,4/5,-85,3,3494432219
16,916400000,125,7,4/5,-87,6,3502612596
0,915600000,125,12,4/5,-85,2,3543667548
1,915400000,125,7,4/5,-88,1,3550068219
2,915200000,125,7,4/5,-85,0,3556143619
3,916600000,125,7,4/5,-87,7,3562219076
4,915200000,125,7,4/5,-84,0,3568294499
5,915600000,125,7,4/5,-84,2,3574369931
6,915200000,125,7,4/5,-83,0,3580445395
7,916000000,125,7,4/5,-87,4,3586520843
8,916200000,125,7,4/5,-87,5,3592593564
9,916600000,125,7,4/5,-87,7,3601187116
10,915200000,125,7,4/5,-85,0,3609537971
11,916200000,125,7,4/5,-89,5,3618431884
12,916400000,125,7,4/5,-87,6,3627899172
13,916200000,125,7,4/5,-85,5,3636565092
14,916400000,125,7,4/5,-87,6,3645242124
15,915800000,125,7,4/5,-84,3,3654331291
0,916200000,125,12,4/5,-88,5,3708367980
1,915800000,125,7,4/5,-94,3,3714768659
2,915400000,125,7,4/5,-95,1,3720844059
3,915200000,125,7,4/5,-97,0,3726919499
4,916000000,125,7,4/5,-96,4,3732994939
