frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
915800000,125,12,4/5,2546614220,-31,11,3,0,0,0,0,True,False,0,False
916600000,125,7,4/5,2553014916,-35,10.2,7,1,0,0,0,True,True,1,True
915800000,125,7,4/5,2559090323,-32,9.2,3,0,0,0,0,True,True,2,True
916200000,125,7,4/5,2565165764,-33,9,5,1,0,0,0,True,True,3,True
915600000,125,7,4/5,2571241211,-34,8.2,2,0,0,0,0,True,True,4,True
915800000,125,7,4/5,2577316691,-34,10.2,3,0,0,0,0,True,True,5,True
916600000,125,7,4/5,2583392132,-37,10.2,7,1,0,0,0,True,True,6,True
915800000,125,7,4/5,2589464851,-34,10.5,3,0,0,0,0,True,False,7,False
916000000,125,7,4/5,2598906131,-33,10,4,1,0,0,0,True,False,8,False
915400000,125,7,4/5,2608539347,-34,9.5,1,0,0,0,0,True,False,9,False
915200000,125,7,4/5,2617927155,-36,11.2,0,0,0,0,0,True,False,10,False
916600000,125,7,4/5,2627705012,-35,9.8,7,1,0,0,0,True,False,11,False
915800000,125,7,4/5,2636897899,-34,10.2,3,0,0,0,0,True,False,12,False
915200000,125,7,4/5,2645221963,-36,9.8,0,0,0,0,0,True,False,13,False
915800000,125,7,4/5,2653816251,-36,10.5,3,0,0,0,0,True,False,14,False
916400000,125,12,4/5,2734262220,-79,9.2,6,1,0,0,0,True,False,0,False
915200000,125,7,4/5,2740662915,-71,9.8,0,0,0,0,0,True,True,1,True
915800000,125,7,4/5,2746738323,-72,8.5,3,0,0,0,0,True,True,2,True
916200000,125,7,4/5,2752813788,-70,8.2,5,1,0,0,0,True,True,3,True
915200000,125,7,4/5,2758889211,-79,9.5,0,0,0,0,0,True,True,4,True
915800000,125,7,4/5,2764964643,-78,9.2,3,0,0,0,0,True,True,5,True
915400000,125,7,4/5,2771040067,-81,10.2,1,0,0,0,0,True,True,6,True
916600000,125,7,4/5,2777112796,-77,10,7,1,0,0,0,True,False,7,False
916400000,125,7,4/5,2785655860,-78,9.5,6,1,0,0,0,True,False,8,False
915600000,125,7,4/5,2793612315,-78,8,2,0,0,0,0,True,False,9,False
915200000,125,7,4/5,2802510771,-79,10.5,0,0,0,0,0,True,False,10,False
915800000,125,7,4/5,2811692147,-81,10.2,3,0,0,0,0,True,False,11,False
915200000,125,7,4/5,2820207251,-79,10.5,0,0,0,0,0,True,False,12,False
916200000,125,7,4/5,2829164244,-77,10.8,5,1,0,0,0,True,False,13,False
915200000,125,7,4/5,2838920395,-78,9.2,0,0,0,0,0,True,False,14,False
916600000,125,12,4/5,2881619284,-85,8.2,7,1,0,0,0,True,False,0,False
916200000,125,7,4/5,2888019996,-75,9.2,5,1,0,0,0,True,True,1,True
915600000,125,7,4/5,2894095403,-75,7.5,2,0,0,0,0,True,True,2,True
915400000,125,7,4/5,2900170843,-75,9,1,0,0,0,0,True,True,3,True
915800000,125,7,4/5,2906246283,-79,10,3,0,0,0,0,True,True,4,True
915200000,125,7,4/5,2912321699,-82,9,0,0,0,0,0,True,True,5,True
915800000,125,7,4/5,2918397131,-78,8.2,3,0,0,0,0,True,True,6,True
916000000,125,7,4/5,2924469851,-83,9,4,1,0,0,0,True,False,7,False
916400000,125,7,4/5,2933991692,-81,10.2,6,1,0,0,0,True,False,8,False
916200000,125,7,4/5,2941927036,-78,9,5,1,0,0,0,True,False,9,False
916400000,125,7,4/5,2950738300,-81,9.5,6,1,0,0,0,True,False,10,False
916000000,125,7,4/5,2959479891,-84,7.2,4,1,0,0,0,True,False,11,False
915400000,125,7,4/5,2968958027,-83,9.5,1,0,0,0,0,True,False,12,False
916000000,125,7,4/5,2977419499,-101,2.5,4,1,0,0,0,True,False,13,False
915400000,125,7,4/5,2985757531,-87,9.2,1,0,0,0,0,True,False,14,False
915800000,125,7,4/5,2993825659,-79,10,3,0,0,0,0,True,False,15,False
916000000,125,12,4/5,3032449212,-84,9.5,4,1,0,0,0,True,False,0,False
915800000,125,7,4/5,3038849883,-84,9.2,3,0,0,0,0,True,True,1,True
916400000,125,7,4/5,3044925316,-85,9.5,6,1,0,0,0,True,True,2,True
916000000,125,7,4/5,3051000763,-85,9.8,4,1,0,0,0,True,True,3,True
915200000,125,7,4/5,3057076203,-84,9.8,0,0,0,0,0,True,True,4,True
916400000,125,7,4/5,3063151652,-84,9.2,6,1,0,0,0,True,True,5,True
916000000,125,7,4/5,3069227083,-83,7.8,4,1,0,0,0,True,True,6,True
916200000,125,7,4/5,3075299812,-83,8.8,5,1,0,0,0,True,False,7,False
915600000,125,7,4/5,3084198507,-80,6.8,2,0,0,0,0,True,False,8,False
916400000,125,7,4/5,3092251372,-84,7.5,6,1,0,0,0,True,False,9,False
915600000,125,7,4/5,3101128379,-81,7.8,2,0,0,0,0,True,False,10,False
915400000,125,7,4/5,3109750579,-84,9.8,1,0,0,0,0,True,False,11,False
916000000,125,7,4/5,3117736115,-83,9,4,1,0,0,0,True,False,12,False
915800000,125,7,4/5,3126158339,-83,9.2,3,0,0,0,0,True,False,13,False
915200000,125,7,4/5,3136032171,-83,9,0,0,0,0,0,True,False,14,False
915200000,125,12,4/5,3196630380,-87,8.8,0,0,0,0,0,True,False,0,False
915800000,125,7,4/5,3203031091,-90,8.5,3,0,0,0,0,True,True,1,True
915200000,125,7,4/5,3209106499,-90,8.5,0,0,0,0,0,True,True,2,True
915800000,125,7,4/5,3215181915,-89,8.5,3,0,0,0,0,True,True,3,True
915200000,125,7,4/5,3221257339,-90,7.8,0,0,0,0,0,True,True,4,True
916600000,125,7,4/5,3227332796,-91,9.8,7,1,0,0,0,True,True,5,True
916200000,125,7,4/5,3233408284,-88,9.8,5,1,0,0,0,True,True,6,True
916400000,125,7,4/5,3239481020,-89,7,6,1,0,0,0,True,False,7,False
915800000,125,7,4/5,3247515915,-87,7.2,3,0,0,0,0,True,False,8,False
916200000,125,7,4/5,3256121428,-90,8.2,5,1,0,0,0,True,False,9,False
915200000,125,7,4/5,3265506403,-91,8.5,0,0,0,0,0,True,False,10,False
915800000,125,7,4/5,3275120875,-90,8.2,3,0,0,0,0,True,False,11,False
916000000,125,7,4/5,3284249851,-91,8.2,4,1,0,0,0,True,False,12,False
916400000,125,7,4/5,3293249164,-86,8.2,6,1,0,0,0,True,False,13,False
916600000,125,7,4/5,3302947620,-93,8.2,7,1,0,0,0,True,False,14,False
915800000,125,7,4/5,3312250483,-87,8.5,3,0,0,0,0,True,False,15,False
915600000,125,7,4/5,3321157915,-88,6.8,2,0,0,0,0,True,False,16,False
916000000,125,7,4/5,3330257683,-87,8.8,4,1,0,0,0,True,False,17,False
916200000,125,7,4/5,3340002620,-87,7.8,5,1,0,0,0,True,False,18,False
916400000,125,7,4/5,3349701116,-90,8,6,1,0,0,0,True,True,19,False
915400000,125,12,4/5,3396205540,-103,-4.5,1,0,0,0,0,True,False,0,False
915200000,125,11,4/5,3403296164,-103,0.2,0,0,0,0,0,True,True,1,True
915600000,125,9,4/5,3419396444,-102,-0.8,2,0,0,0,0,True,True,3,False
915400000,125,9,4/5,3425608892,-93,9,1,0,0,0,0,True,False,4,False
915600000,125,7,4/5,3431713259,-93,6.2,2,0,0,0,0,True,True,5,True
915200000,125,7,4/5,3437788691,-97,5.8,0,0,0,0,0,True,True,6,True
916400000,125,7,4/5,3443864148,-94,7,6,1,0,0,0,True,True,7,True
916600000,125,7,4/5,3449939612,-95,7.2,7,1,0,0,0,True,True,8,True
915200000,125,7,4/5,3456015035,-95,7.8,0,0,0,0,0,True,True,9,True
916400000,125,7,4/5,3462090484,-94,5.8,6,1,0,0,0,True,True,10,True
916600000,125,7,4/5,3468167116,-88,8.5,7,1,0,0,0,True,True,11,True
915800000,125,7,4/5,3474242571,-87,8.8,3,0,0,0,0,True,True,12,True
915600000,125,7,4/5,3480317995,-85,8.2,2,0,0,0,0,True,True,13,True
916200000,125,7,4/5,3486390724,-84,8.8,5,1,0,0,0,True,False,14,False
915800000,125,7,4/5,3494432219,-85,9,3,0,0,0,0,True,False,15,False
916400000,125,7,4/5,3502612596,-87,8.2,6,1,0,0,0,True,False,16,False
915600000,125,12,4/5,3543667548,-85,7,2,0,0,0,0,True,False,0,False
915400000,125,7,4/5,3550068219,-88,8.5,1,0,0,0,0,True,True,1,True
915200000,125,7,4/5,3556143619,-85,8.8,0,0,0,0,0,True,True,2,True
916600000,125,7,4/5,3562219076,-87,10,7,1,0,0,0,True,True,3,True
915200000,125,7,4/5,3568294499,-84,9.8,0,0,0,0,0,True,True,4,True
915600000,125,7,4/5,3574369931,-84,6.2,2,0,0,0,0,True,True,5,True
915200000,125,7,4/5,3580445395,-83,8.5,0,0,0,0,0,True,True,6,True
916000000,125,7,4/5,3586520843,-87,8.8,4,1,0,0,0,True,True,7,True
916200000,125,7,4/5,3592593564,-87,10,5,1,0,0,0,True,False,8,False
916600000,125,7,4/5,3601187116,-87,8.5,7,1,0,0,0,True,False,9,False
915200000,125,7,4/5,3609537971,-85,9.2,0,0,0,0,0,True,False,10,False
916200000,125,7,4/5,3618431884,-89,9.8,5,1,0,0,0,True,False,11,False
916400000,125,7,4/5,3627899172,-87,10.2,6,1,0,0,0,True,False,12,False
916200000,125,7,4/5,3636565092,-85,9.8,5,1,0,0,0,True,False,13,False
916400000,125,7,4/5,3645242124,-87,8.2,6,1,0,0,0,True,False,14,False
915800000,125,7,4/5,3654331291,-84,9.5,3,0,0,0,0,True,False,15,False
916200000,125,12,4/5,3708367980,-88,7.8,5,1,0,0,0,True,False,0,False
915800000,125,7,4/5,3714768659,-94,7,3,0,0,0,0,True,True,1,True
915400000,125,7,4/5,3720844059,-95,5.5,1,0,0,0,0,True,True,2,True
915200000,125,7,4/5,3726919499,-97,7.2,0,0,0,0,0,True,True,3,True
916000000,125,7,4/5,3732994939,-96,5.5,4,1,0,0,0,True,True,4,True
916400000,125,7,4/5,3739070388,-87,8.5,6,1,0,0,0,True,True,5,True
916200000,125,7,4/5,3745145836,-92,6.5,5,1,0,0,0,True,True,6,True
916400000,125,7,4/5,3751221292,-91,8.2,6,1,0,0,0,True,True,7,True
915400000,125,7,4/5,3757296715,-94,7,1,0,0,0,0,True,True,8,True
915200000,125,7,4/5,3763372155,-99,5.8,0,0,0,0,0,True,True,9,True
916200000,125,7,4/5,3769447612,-93,8.5,5,1,0,0,0,True,True,10,True
916600000,125,7,4/5,3775520332,-85,7.8,7,1,0,0,0,True,False,11,False
915800000,125,7,4/5,3783634139,-103,-6,3,0,0,0,0,True,False,12,False
916400000,125,7,4/5,3792566276,-91,7,6,1,0,0,0,True,False,13,False
916200000,125,7,4/5,3801436324,-93,7.8,5,1,0,0,0,True,False,14,False
915900000,500,8,4/5,3860282059,-92,-0.8,8,0,0,0,0,True,False,0,False
