fCnt,rssi,dr,freq,
0,OTAA,0,916400000,T1A8
1,OTAA,5,916600000,
2,OTAA,5,916200000,
3,OTAA,5,915600000,
4,OTAA,5,916600000,
5,OTAA,5,916000000,
6,OTAA,5,916600000,
7,OTAA,5,915200000,
8,OTAA,5,915800000,
9,OTAA,5,915400000,
10,OTAA,5,916200000,
11,OTAA,5,916000000,
12,OTAA,5,916400000,
13,OTAA,5,915200000,
14,OTAA,5,915400000,
15,OTAA,5,915600000,
16,OTAA,5,916000000,
17,OTAA,5,915600000,
18,OTAA,5,916600000,
19,OTAA,5,916000000,
20,OTAA,5,915600000,
21,OTAA,5,915800000,
22,OTAA,5,916000000,
23,OTAA,5,915800000,
24,OTAA,5,915600000,
25,OTAA,5,916200000,
0,OTAA,0,916000000,T1A4
1,OTAA,5,916200000,
2,OTAA,5,916600000,
3,OTAA,5,915200000,
4,OTAA,5,915600000,
5,OTAA,5,915400000,
6,OTAA,5,915600000,
7,OTAA,5,916400000,
8,OTAA,5,916200000,
9,OTAA,5,916000000,
10,OTAA,5,916200000,
11,OTAA,5,916000000,
12,OTAA,5,915600000,
13,OTAA,5,915200000,
14,OTAA,5,915400000,
15,OTAA,5,916600000,
16,OTAA,5,915400000,
17,OTAA,5,916000000,
18,OTAA,5,915400000,
19,OTAA,5,915600000,
20,OTAA,5,916400000,
21,OTAA,5,915200000,
22,OTAA,5,915800000,
23,OTAA,5,916000000,
24,OTAA,5,915600000,
25,OTAA,5,915400000,
26,OTAA,5,916200000,
27,OTAA,5,916000000,
28,OTAA,5,915200000,
0,OTAA,0,916600000,T1AT
1,OTAA,4,915800000,
2,OTAA,5,916400000,
3,OTAA,5,915400000,
4,OTAA,5,915600000,
5,OTAA,5,916400000,
6,OTAA,5,916200000,
7,OTAA,5,916600000,
8,OTAA,5,916400000,
9,OTAA,5,915800000,
10,OTAA,5,916000000,
11,OTAA,5,916600000,
12,OTAA,5,915200000,
13,OTAA,5,915800000,
14,OTAA,5,916000000,
15,OTAA,5,916400000,
16,OTAA,5,916000000,
17,OTAA,5,915600000,
18,OTAA,5,915200000,
19,OTAA,5,915800000,
20,OTAA,5,916200000,
21,OTAA,5,915400000,
22,OTAA,5,916400000,
23,OTAA,5,915800000,
24,OTAA,5,915400000,
25,OTAA,5,916200000,
26,OTAA,5,915400000,
27,OTAA,5,916000000,
0,OTAA,0,915800000,T2AT
1,OTAA,5,915600000,
2,OTAA,5,916000000,
3,OTAA,5,915400000,
4,OTAA,5,915600000,
5,OTAA,5,916400000,
6,OTAA,5,915400000,
7,OTAA,5,915800000,
8,OTAA,5,916400000,
9,OTAA,5,916200000,
10,OTAA,5,915200000,
11,OTAA,5,916600000,
12,OTAA,5,916000000,
13,OTAA,5,916400000,
14,OTAA,5,915600000,
15,OTAA,5,915800000,
16,OTAA,5,916200000,
17,OTAA,5,916000000,
18,OTAA,5,916200000,
19,OTAA,5,915200000,
20,OTAA,5,916600000,
21,OTAA,5,916000000,
22,OTAA,5,916600000,
0,OTAA,0,916600000,T2A3
1,OTAA,5,916400000,
2,OTAA,5,915400000,
3,OTAA,5,915800000,
4,OTAA,5,915200000,
5,OTAA,5,915800000,
6,OTAA,5,916200000,
7,OTAA,5,915400000,
8,OTAA,5,916200000,
9,OTAA,5,916000000,
10,OTAA,5,916400000,
11,OTAA,5,915200000,
12,OTAA,5,915600000,
13,OTAA,5,915200000,
14,OTAA,5,915600000,
15,OTAA,5,915400000,
16,OTAA,5,916200000,
17,OTAA,5,916600000,
18,OTAA,5,915800000,
19,OTAA,5,916200000,
20,OTAA,5,915800000,
21,OTAA,5,915200000,
