fCnt,freq,bw,sf,cr,rssi,channel,timestamp,
0,916400000,125,12,4/5,-60,6,2131734100,T1A8
1,916600000,125,7,4/5,-60,7,2138134828,
2,916200000,125,7,4/5,-61,5,2144210260,
3,915600000,125,7,4/5,-51,2,2150285699,
4,916600000,125,7,4/5,-63,7,2156361172,
5,916000000,125,7,4/5,-63,4,2162436627,
6,916600000,125,7,4/5,-63,7,2168512084,
7,915200000,125,7,4/5,-65,0,2174584803,
8,915800000,125,7,4/5,-61,3,2183659563,
9,915400000,125,7,4/5,-59,1,2192865147,
10,916200000,125,7,4/5,-60,5,2201057356,
11,916000000,125,7,4/5,-59,4,2209251155,
12,916400000,125,7,4/5,-63,6,2218986716,
13,915200000,125,7,4/5,-64,0,2227211595,
14,915400000,125,7,4/5,-63,1,2235500195,
15,915600000,125,7,4/5,-60,2,2244839603,
16,916000000,125,7,4/5,-64,4,2253794363,
17,915600000,125,7,4/5,-69,2,2262379955,
18,916600000,125,7,4/5,-59,7,2270860948,
19,916000000,125,7,4/5,-56,4,2280487715,
20,915600000,125,7,4/5,-61,2,2286560491,
21,915800000,125,7,4/5,-64,3,2295420907,
22,916000000,125,7,4/5,-66,4,2304078139,
23,915800000,125,7,4/5,-61,3,2313450707,
24,915600000,125,7,4/5,-61,2,2322933707,
25,916200000,125,7,4/5,-67,5,2331748444,
0,916000000,125,12,4/5,-87,4,2697990284,T1A4
1,916200000,125,7,4/5,-81,5,2704390988,
2,916600000,125,7,4/5,-84,7,2710466388,
3,915200000,125,7,4/5,-84,0,2716541827,
4,915600000,125,7,4/5,-88,2,2722617299,
5,915400000,125,7,4/5,-87,1,2728690027,
6,915600000,125,7,4/5,-87,2,2734765467,
7,916400000,125,7,4/5,-82,6,2740840924,
8,916200000,125,7,4/5,-84,5,2746916380,
9,916000000,125,7,4/5,-83,4,2752989107,
10,916200000,125,7,4/5,-83,5,2762337012,
11,916000000,125,7,4/5,-88,4,2771510787,
12,915600000,125,7,4/5,-85,2,2779826211,
13,915200000,125,7,4/5,-88,0,2788733051,
14,915400000,125,7,4/5,-87,1,2797358539,
15,916600000,125,7,4/5,-87,7,2806760852,
16,915400000,125,7,4/5,-84,1,2815792459,
17,916000000,125,7,4/5,-87,4,2823685499,
18,915400000,125,7,4/5,-84,1,2833090387,
19,915600000,125,7,4/5,-84,2,2842734819,
20,916400000,125,7,4/5,-84,6,2850779580,
21,915200000,125,7,4/5,-87,0,2860502099,
22,915800000,125,7,4/5,-84,3,2866574931,
23,916000000,125,7,4/5,-84,4,2875905467,
24,915600000,125,7,4/5,-84,2,2884321915,
25,915400000,125,7,4/5,-83,1,2893922291,
26,916200000,125,7,4/5,-83,5,2902757284,
27,916000000,125,7,4/5,-85,4,2912468667,
