frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
916400000,125,12,4/5,2131734100,-60,9.2,6,1,0,0,0,True,False,0,False
916600000,125,7,4/5,2138134828,-60,9.5,7,1,0,0,0,True,True,1,True
916200000,125,7,4/5,2144210260,-61,8.8,5,1,0,0,0,True,True,2,True
915600000,125,7,4/5,2150285699,-51,7.2,2,0,0,0,0,True,True,3,True
916600000,125,7,4/5,2156361172,-63,9.2,7,1,0,0,0,True,True,4,True
916000000,125,7,4/5,2162436627,-63,9.5,4,1,0,0,0,True,True,5,True
916600000,125,7,4/5,2168512084,-63,10,7,1,0,0,0,True,True,6,True
915200000,125,7,4/5,2174584803,-65,10,0,0,0,0,0,True,False,7,False
915800000,125,7,4/5,2183659563,-61,8.8,3,0,0,0,0,True,False,8,False
915400000,125,7,4/5,2192865147,-59,9.2,1,0,0,0,0,True,False,9,False
916200000,125,7,4/5,2201057356,-60,8.5,5,1,0,0,0,True,False,10,False
916000000,125,7,4/5,2209251155,-59,9.5,4,1,0,0,0,True,False,11,False
916400000,125,7,4/5,2218986716,-63,9.8,6,1,0,0,0,True,False,12,False
915200000,125,7,4/5,2227211595,-64,9.2,0,0,0,0,0,True,False,13,False
915400000,125,7,4/5,2235500195,-63,9.5,1,0,0,0,0,True,False,14,False
915600000,125,7,4/5,2244839603,-60,7.5,2,0,0,0,0,True,False,15,False
916000000,125,7,4/5,2253794363,-64,9.5,4,1,0,0,0,True,False,16,False
915600000,125,7,4/5,2262379955,-69,7,2,0,0,0,0,True,False,17,False
916600000,125,7,4/5,2270860948,-59,8.8,7,1,0,0,0,True,False,18,False
916000000,125,7,4/5,2280487715,-56,8.8,4,1,0,0,0,True,True,19,False
915600000,125,7,4/5,2286560491,-61,8,2,0,0,0,0,True,False,20,False
915800000,125,7,4/5,2295420907,-64,8.8,3,0,0,0,0,True,False,21,False
916000000,125,7,4/5,2304078139,-66,10.8,4,1,0,0,0,True,False,22,False
915800000,125,7,4/5,2313450707,-61,9,3,0,0,0,0,True,False,23,False
915600000,125,7,4/5,2322933707,-61,8.2,2,0,0,0,0,True,False,24,False
916200000,125,7,4/5,2331748444,-67,9.8,5,1,0,0,0,True,False,25,False
916200000,125,12,4/5,2427532180,-91,3,5,1,0,0,0,True,False,0,False
915600000,125,8,4/5,2433984348,-91,6.5,2,0,0,0,0,True,True,1,True
916600000,125,7,4/5,2440070252,-96,2.8,7,1,0,0,0,True,True,2,True
916000000,125,7,4/5,2446142987,-86,8.2,4,1,0,0,0,True,False,3,False
915800000,125,7,4/5,2452218419,-85,8.5,3,0,0,0,0,True,True,4,True
916400000,125,7,4/5,2458293860,-89,8.2,6,1,0,0,0,True,True,5,True
915200000,125,7,4/5,2464369291,-89,9.2,0,0,0,0,0,True,True,6,True
916000000,125,7,4/5,2470444739,-90,8.2,4,1,0,0,0,True,True,7,True
915400000,125,7,4/5,2476520195,-89,9.8,1,0,0,0,0,True,True,8,True
916400000,125,7,4/5,2482595652,-89,7.8,6,1,0,0,0,True,True,9,True
916000000,125,7,4/5,2488668379,-90,7.8,4,1,0,0,0,True,False,10,False
915400000,125,7,4/5,2496995363,-88,8.8,1,0,0,0,0,True,False,11,False
915600000,125,7,4/5,2506373251,-90,6.5,2,0,0,0,0,True,False,12,False
916600000,125,7,4/5,2515056628,-95,7.5,7,1,0,0,0,True,False,13,False
915200000,125,12,4/5,2544955836,-90,7.5,0,0,0,0,0,True,False,0,False
915600000,125,7,4/5,2551356539,-91,4.8,2,0,0,0,0,True,True,1,True
916600000,125,7,4/5,2557431972,-96,4.2,7,1,0,0,0,True,True,2,True
915200000,125,7,4/5,2563504683,-91,8.8,0,0,0,0,0,True,False,3,False
915600000,125,7,4/5,2569580099,-88,7,2,0,0,0,0,True,True,4,True
916200000,125,7,4/5,2575655564,-91,7.5,5,1,0,0,0,True,True,5,True
916600000,125,7,4/5,2581731028,-95,5.5,7,1,0,0,0,True,True,6,True
916000000,125,7,4/5,2587806483,-96,5.5,4,1,0,0,0,True,True,7,True
915400000,125,7,4/5,2593881915,-95,6.5,1,0,0,0,0,True,True,8,True
915800000,125,7,4/5,2599957339,-88,7.5,3,0,0,0,0,True,True,9,True
916200000,125,7,4/5,2606032780,-91,8,5,1,0,0,0,True,True,10,True
915600000,125,7,4/5,2612108243,-90,6.5,2,0,0,0,0,True,True,11,True
916200000,125,7,4/5,2618180972,-91,9,5,1,0,0,0,True,False,12,False
915600000,125,7,4/5,2626465347,-88,7,2,0,0,0,0,True,False,13,False
916200000,125,7,4/5,2635186868,-91,7.8,5,1,0,0,0,True,False,14,False
915200000,125,7,4/5,2644094739,-91,8,0,0,0,0,0,True,False,15,False
916000000,125,12,4/5,2697990284,-87,5.5,4,1,0,0,0,True,False,0,False
916200000,125,7,4/5,2704390988,-81,9.8,5,1,0,0,0,True,True,1,True
916600000,125,7,4/5,2710466388,-84,10.2,7,1,0,0,0,True,True,2,True
915200000,125,7,4/5,2716541827,-84,9.5,0,0,0,0,0,True,True,3,True
915600000,125,7,4/5,2722617299,-88,5.2,2,0,0,0,0,True,True,4,True
915400000,125,7,4/5,2728690027,-87,9.2,1,0,0,0,0,True,False,5,False
915600000,125,7,4/5,2734765467,-87,7,2,0,0,0,0,True,True,6,True
916400000,125,7,4/5,2740840924,-82,9,6,1,0,0,0,True,True,7,True
