fCnt,rssi,dr,freq,
0,OTAA,0,916600000,T1AS
1,OTAA,0,915800000,
2,OTAA,0,916000000,
3,OTAA,2,916200000,
4,OTAA,4,916600000,
5,OTAA,4,916000000,
6,OTAA,4,915400000,
7,OTAA,4,916200000,
8,OTAA,4,915800000,
9,OTAA,4,916400000,
10,OTAA,4,915800000,
11,OTAA,4,916200000,
12,OTAA,4,916600000,
13,OTAA,4,915400000,
14,OTAA,4,916200000,
15,OTAA,4,915800000,
16,OTAA,5,916000000,
17,OTAA,5,915400000,
18,OTAA,5,916400000,
19,OTAA,5,915400000,
20,OTAA,5,916000000,
21,OTAA,5,915400000,
22,OTAA,5,916200000,
23,OTAA,5,916000000,
24,OTAA,5,915200000,
0,OTAA,0,915200000,T2AS
1,OTAA,4,915400000,
2,OTAA,4,915200000,
3,OTAA,4,916400000,
4,OTAA,4,915200000,
5,OTAA,4,915400000,
6,OTAA,5,915800000,
7,OTAA,5,915400000,
8,OTAA,5,915600000,
9,OTAA,5,916200000,
10,OTAA,5,915800000,
11,OTAA,5,915200000,
12,OTAA,5,916200000,
13,OTAA,5,915200000,
14,OTAA,5,916000000,
15,OTAA,5,915400000,
16,OTAA,5,915600000,
17,OTAA,5,915400000,
18,OTAA,5,915800000,
19,OTAA,5,916000000,
20,OTAA,5,915600000,
21,OTAA,5,915400000,
22,OTAA,5,915800000,
23,OTAA,5,916000000,
24,OTAA,5,915200000,
25,OTAA,5,916600000,
0,OTAA,0,916000000,T3AS
1,OTAA,0,915800000,
2,OTAA,0,916600000,
3,OTAA,0,915200000,
4,OTAA,0,916600000,
5,OTAA,0,916000000,
6,OTAA,0,915200000,
8,OTAA,0,915800000,
10,OTAA,0,915200000,
12,OTAA,0,915200000,
13,OTAA,0,916400000,
14,OTAA,0,916200000,
15,OTAA,0,915400000,
16,OTAA,0,915200000,
17,OTAA,0,916600000,
0,OTAA,0,916600000,BIBLIOTECA SUB
1,OTAA,4,915400000,
2,OTAA,4,916000000,
3,OTAA,5,915400000,
4,OTAA,5,915200000,
5,OTAA,5,915800000,
6,OTAA,5,915400000,
7,OTAA,5,915800000,
8,OTAA,5,915600000,
9,OTAA,5,915400000,
11,OTAA,5,916400000,
12,OTAA,5,916200000,
13,OTAA,5,916400000,
0,OTAA,0,916000000,BIBLIOTECA TÉRREO
1,OTAA,0,916400000,
2,OTAA,1,915600000,
3,OTAA,1,916000000,
4,OTAA,2,915600000,
5,OTAA,2,916200000,
6,OTAA,2,915400000,
7,OTAA,2,916200000,
8,OTAA,4,916400000,
9,OTAA,4,915200000,
10,OTAA,4,915800000,
11,OTAA,4,915400000,
12,OTAA,4,916200000,
13,OTAA,5,916600000,
14,OTAA,5,915400000,
15,OTAA,5,915600000,
16,OTAA,5,915200000,
18,OTAA,5,915400000,
19,OTAA,5,915600000,
20,OTAA,5,916600000,
21,OTAA,5,916200000,
22,OTAA,5,915800000,
23,OTAA,5,916000000,
24,OTAA,5,915400000,
0,OTAA,0,916200000,BLOCO LD A2
