fCnt,freq,bw,sf,cr,rssi,channel,timestamp,
0,916600000,125,12,4/5,-106,7,1424810396,T1AS
1,915800000,125,12,4/5,-105,3,1432478572,
2,916000000,125,12,4/5,-102,4,1440063044,
3,916200000,125,10,4/5,-99,5,1446699468,
4,916600000,125,8,4/5,-101,7,1452897316,
5,916000000,125,8,4/5,-101,4,1459021756,
6,915400000,125,8,4/5,-100,1,1467676548,
7,916200000,125,8,4/5,-100,5,1477268620,
8,915800000,125,8,4/5,-103,3,1486438740,
9,916400000,125,8,4/5,-102,6,1494652564,
10,915800000,125,8,4/5,-102,3,1502581260,
11,916200000,125,8,4/5,-103,5,1511664180,
12,916600000,125,8,4/5,-105,7,1520602876,
13,915400000,125,8,4/5,-102,1,1529645380,
14,916200000,125,8,4/5,-101,5,1539279636,
15,915800000,125,8,4/5,-100,3,1547556884,
16,916000000,125,7,4/5,-101,4,1553642811,
17,915400000,125,7,4/5,-103,1,1562188115,
18,916400000,125,7,4/5,-102,6,1571998500,
19,915400000,125,7,4/5,-102,1,1581354835,
20,916000000,125,7,4/5,-102,4,1589853363,
21,915400000,125,7,4/5,-103,1,1595926195,
22,916200000,125,7,4/5,-102,5,1604464868,
23,916000000,125,7,4/5,-103,4,1614335515,
24,915200000,125,7,4/5,-105,0,1622877995,
0,915200000,125,12,4/5,-100,0,1759968756,T2AS
1,915400000,125,8,4/5,-105,1,1766420908,
2,915200000,125,8,4/5,-106,0,1772545260,
3,916400000,125,8,4/5,-103,6,1781584388,
4,915200000,125,8,4/5,-105,0,1789665548,
5,915400000,125,8,4/5,-94,1,1798305588,
6,915800000,125,7,4/5,-94,3,1804391531,
7,915400000,125,7,4/5,-96,1,1810468131,
8,915600000,125,7,4/5,-95,2,1816543555,
9,916200000,125,7,4/5,-97,5,1822616308,
10,915800000,125,7,4/5,-97,3,1832124955,
11,915200000,125,7,4/5,-99,0,1841659931,
12,916200000,125,7,4/5,-97,5,1849698636,
13,915200000,125,7,4/5,-99,0,1858045307,
14,916000000,125,7,4/5,-99,4,1865925219,
15,915400000,125,7,4/5,-97,1,1875773659,
16,915600000,125,7,4/5,-97,2,1884063379,
17,915400000,125,7,4/5,-96,1,1893141515,
18,915800000,125,7,4/5,-96,3,1902669851,
19,916000000,125,7,4/5,-97,4,1910909675,
20,915600000,125,7,4/5,-97,2,1919691507,
21,915400000,125,7,4/5,-96,1,1928394355,
22,915800000,125,7,4/5,-101,3,1936994027,
23,916000000,125,7,4/5,-100,4,1943066851,
24,915200000,125,7,4/5,-100,0,1951858459,
25,916600000,125,7,4/5,-95,7,1960316644,
0,916000000,125,12,4/5,-105,4,2809807916,T3AS
1,915800000,125,12,4/5,-105,3,2817476164,
2,916600000,125,12,4/5,-107,7,2825060676,
3,915200000,125,12,4/5,-107,0,2836023108,
4,916600000,125,12,4/5,-105,7,2845169940,
5,916000000,125,12,4/5,-105,4,2855725780,
6,915200000,125,12,4/5,-108,0,2866739948,
8,915800000,125,12,4/5,-107,3,2886532684,
10,915200000,125,12,4/5,-107,0,2905518900,
12,915200000,125,12,4/5,-106,0,2926904644,
13,916400000,125,12,4/5,-103,6,2936911380,
14,916200000,125,12,4/5,-105,5,2946846892,
15,915400000,125,12,4/5,-103,1,2954431476,
16,915200000,125,12,4/5,-106,0,2964725500,
17,916600000,125,12,4/5,-105,7,2975303036,
0,916600000,125,12,4/5,-96,7,3260477404,BIBLIOTECA SUB
1,915400000,125,8,4/5,-105,1,3266929564,
2,916000000,125,8,4/5,-102,4,3275326620,
3,915400000,125,7,4/5,-100,1,3281412539,
4,915200000,125,7,4/5,-101,0,3287485299,
5,915800000,125,7,4/5,-98,3,3295662771,
6,915400000,125,7,4/5,-102,1,3305352291,
7,915800000,125,7,4/5,-103,3,3314613403,
8,915600000,125,7,4/5,-102,2,3322821939,
9,915400000,125,7,4/5,-99,1,3330733755,
11,916400000,125,7,4/5,-100,6,3348896180,
12,916200000,125,7,4/5,-103,5,3358010260,
13,916400000,125,7,4/5,-100,6,3366256980,
0,916000000,125,12,4/5,-102,4,3392312612,BIBLIOTECA TÉRREO
1,916400000,125,12,4/5,-103,6,3399980756,
2,915600000,125,11,4/5,-105,2,3407028836,
3,916000000,125,11,4/5,-103,4,3417264908,
4,915600000,125,10,4/5,-105,2,3423773684,
5,916200000,125,10,4/5,-103,5,3430187916,
6,915400000,125,10,4/5,-101,1,3439351924,
7,916200000,125,10,4/5,-99,5,3448568556,
8,916400000,125,8,4/5,-103,6,3454766404,
9,915200000,125,8,4/5,-107,0,3460890788,
10,915800000,125,8,4/5,-103,3,3469732828,
11,915400000,125,8,4/5,-100,1,3478734644,
12,916200000,125,8,4/5,-98,5,3488483140,
13,916600000,125,7,4/5,-106,7,3494569068,
14,915400000,125,7,4/5,-102,1,3500641787,
15,915600000,125,7,4/5,-101,2,3508524771,
16,915200000,125,7,4/5,-107,0,3517303635,
18,915400000,125,7,4/5,-103,1,3533251403,
19,915600000,125,7,4/5,-102,2,3542560163,
20,916600000,125,7,4/5,-102,7,3551620084,
21,916200000,125,7,4/5,-103,5,3560103508,
22,915800000,125,7,4/5,-105,3,3568095883,
23,916000000,125,7,4/5,-105,4,3576999883,
24,915400000,125,7,4/5,-105,1,3586190739,
0,916200000,125,12,4/5,-106,5,3672623580,BLOCO LD A2
1,916000000,125,10,4/5,-105,4,3679302564,
2,915200000,125,10,4/5,-108,0,3685716748,
3,916600000,125,10,4/5,-107,7,3695061236,
4,915200000,125,10,4/5,-105,0,3704332004,
5,915400000,125,10,4/5,-105,1,3712955340,
6,916400000,125,10,4/5,-105,6,3722717324,
7,915200000,125,10,4/5,-106,0,3732382292,
8,916400000,125,10,4/5,-103,6,3740896852,
9,915800000,125,10,4/5,-105,3,3750928220,
10,916400000,125,10,4/5,-105,6,3760321036,
11,916600000,125,10,4/5,-106,7,3769278804,
12,915600000,125,10,4/5,-105,2,3777629044,
13,916400000,125,10,4/5,-105,6,3785964764,
14,916000000,125,10,4/5,-102,4,3794316892,
15,916400000,125,10,4/5,-103,6,3800731108,
16,916000000,125,10,4/5,-105,4,3810251508,
17,915800000,125,10,4/5,-105,3,3819702284,
18,915600000,125,10,4/5,-107,2,3829709236,
19,916000000,125,10,4/5,-105,4,3838069924,
20,915800000,125,10,4/5,-103,3,3846286044,
21,916600000,125,10,4/5,-107,7,3856359284,
22,916200000,125,10,4/5,-105,5,3866336236,
23,916600000,125,10,4/5,-103,7,3874683940,
0,915200000,125,12,4/5,-99,0,4070847932,BLOCO LE A2
2,915400000,125,8,4/5,-105,1,4086406860,
5,916200000,125,8,4/5,-98,5,4114022324,
6,915400000,125,7,4/5,-100,1,4120112499,
7,916000000,125,7,4/5,-100,4,4129172627,
8,915200000,125,7,4/5,-99,0,4135245347,
9,915800000,125,7,4/5,-100,3,4141320787,
10,915200000,125,7,4/5,-98,0,4147393507,
11,916600000,125,7,4/5,-101,7,4156148148,
12,916200000,125,7,4/5,-99,5,4165996692,
13,915800000,125,7,4/5,-99,3,4174043379,
14,916000000,125,7,4/5,-101,4,4183884627,
15,916400000,125,7,4/5,-101,6,4193649204,
16,915200000,125,7,4/5,-102,0,4201904467,
17,915600000,125,7,4/5,-103,2,4210148571,
22,915200000,125,7,4/5,-107,0,4257085755,
0,915200000,125,12,4/5,-108,0,59994100,BLOCO LD A7
1,916000000,125,12,4/5,-103,4,71085076,
2,916600000,125,11,4/5,-104,7,78175796,
3,915600000,125,11,4/5,-105,2,84993628,
4,916000000,125,11,4/5,-105,4,94120420,
5,915800000,125,11,4/5,-105,3,104199948,
6,915400000,125,11,4/5,-105,1,112919740,
7,915600000,125,11,4/5,-103,2,122570300,
8,916400000,125,11,4/5,-105,6,132064420,
9,915600000,125,10,4/5,-105,2,138573196,
10,915400000,125,10,4/5,-103,1,144987412,
11,915800000,125,10,4/5,-105,3,154807532,
12,915400000,125,10,4/5,-105,1,163069220,
13,916200000,125,10,4/5,-103,5,172142596,
14,915400000,125,10,4/5,-105,1,180978956,
15,915600000,125,10,4/5,-105,2,189692900,
16,916600000,125,10,4/5,-105,7,198219956,
17,915400000,125,10,4/5,-105,1,206743476,
18,916200000,125,10,4/5,-105,5,215157612,
19,915600000,125,10,4/5,-105,2,224401116,
20,916600000,125,10,4/5,-107,7,233564420,
21,915800000,125,10,4/5,-102,3,241986852,
22,916000000,125,10,4/5,-103,4,251637556,
23,916200000,125,10,4/5,-106,5,258051876,
0,916400000,125,12,4/5,-106,6,645783716,BLOCO LE A7
1,915400000,125,12,4/5,-105,1,653451940,
2,916400000,125,12,4/5,-105,6,662762940,
3,915800000,125,12,4/5,-107,3,670347420,
4,915400000,125,12,4/5,-103,1,681271612,
5,916600000,125,12,4/5,-102,7,691343108,
6,916200000,125,12,4/5,-105,5,701377324,
8,915800000,125,9,4/5,-107,3,716164812,
9,916200000,125,9,4/5,-107,5,722377292,
10,915800000,125,9,4/5,-106,3,731369932,
11,916400000,125,9,4/5,-105,6,739643156,
14,916600000,125,9,4/5,-107,7,767357892,
15,916200000,125,9,4/5,-105,5,776354036,
16,916600000,125,9,4/5,-103,7,785649652,
18,916200000,125,9,4/5,-105,5,802212364,
19,916600000,125,9,4/5,-107,7,810596732,
20,916400000,125,9,4/5,-105,6,820486692,
21,916600000,125,9,4/5,-103,7,829590172,
0,915400000,125,12,4/5,-104,1,1205758412,BLOCO B A10
1,916000000,125,11,4/5,-100,4,1212849012,
2,915800000,125,8,4/5,-101,3,1219130964,
3,915400000,125,8,4/5,-100,1,1225255356,
4,916200000,125,8,4/5,-101,5,1233855804,
5,916600000,125,8,4/5,-100,7,1243621380,
6,915600000,125,8,4/5,-101,2,1252759916,
7,915800000,125,7,4/5,-101,3,1258847003,
8,916200000,125,7,4/5,-103,5,1264919740,
9,915800000,125,7,4/5,-106,3,1274387251,
10,916200000,125,7,4/5,-101,5,1283620628,
11,916600000,125,7,4/5,-101,7,1291996588,
12,915400000,125,7,4/5,-102,1,1301694371,
13,915600000,125,7,4/5,-103,2,1310340019,
14,916600000,125,7,4/5,-105,7,1318404492,
15,915600000,125,7,4/5,-105,2,1327423867,
16,916600000,125,7,4/5,-103,7,1335660324,
18,916400000,125,7,4/5,-103,6,1352315580,
19,915600000,125,7,4/5,-105,2,1360265995,
21,915800000,125,7,4/5,-103,3,1379126251,
22,915600000,125,7,4/5,-103,2,1385201795,
