frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
916600000,125,12,4/5,1424810396,-106,-7.2,7,1,0,0,0,True,False,0,False
915800000,125,12,4/5,1432478572,-105,-7.2,3,0,0,0,0,True,True,1,True
916000000,125,12,4/5,1440063044,-102,-2.2,4,1,0,0,0,True,False,2,False
916200000,125,10,4/5,1446699468,-99,2.8,5,1,0,0,0,True,True,3,True
916600000,125,8,4/5,1452897316,-101,2.2,7,1,0,0,0,True,True,4,True
916000000,125,8,4/5,1459021756,-101,1.5,4,1,0,0,0,True,False,5,False
915400000,125,8,4/5,1467676548,-100,2,1,0,0,0,0,True,False,6,False
916200000,125,8,4/5,1477268620,-100,2.2,5,1,0,0,0,True,False,7,False
915800000,125,8,4/5,1486438740,-103,-0.5,3,0,0,0,0,True,False,8,False
916400000,125,8,4/5,1494652564,-102,0.5,6,1,0,0,0,True,False,9,False
915800000,125,8,4/5,1502581260,-102,-1.8,3,0,0,0,0,True,False,10,False
916200000,125,8,4/5,1511664180,-103,-2.2,5,1,0,0,0,True,False,11,False
916600000,125,8,4/5,1520602876,-105,-3.2,7,1,0,0,0,True,False,12,False
915400000,125,8,4/5,1529645380,-102,-1.8,1,0,0,0,0,True,False,13,False
916200000,125,8,4/5,1539279636,-101,1,5,1,0,0,0,True,False,14,False
915800000,125,8,4/5,1547556884,-100,3,3,0,0,0,0,True,False,15,False
916000000,125,7,4/5,1553642811,-101,0.8,4,1,0,0,0,True,True,16,True
915400000,125,7,4/5,1562188115,-103,-0.8,1,0,0,0,0,True,True,17,False
916400000,125,7,4/5,1571998500,-102,0,6,1,0,0,0,True,True,18,False
915400000,125,7,4/5,1581354835,-102,-1,1,0,0,0,0,True,True,19,False
916000000,125,7,4/5,1589853363,-102,0.2,4,1,0,0,0,True,True,20,False
915400000,125,7,4/5,1595926195,-103,-2.5,1,0,0,0,0,True,False,21,False
916200000,125,7,4/5,1604464868,-102,-2.2,5,1,0,0,0,True,False,22,False
916000000,125,7,4/5,1614335515,-103,-3,4,1,0,0,0,True,False,23,False
915200000,125,7,4/5,1622877995,-105,-1.2,0,0,0,0,0,True,False,24,False
915200000,125,12,4/5,1759968756,-100,2,0,0,0,0,0,True,False,0,False
915400000,125,8,4/5,1766420908,-105,-8.5,1,0,0,0,0,True,True,1,True
915200000,125,8,4/5,1772545260,-106,-2.2,0,0,0,0,0,True,False,2,False
916400000,125,8,4/5,1781584388,-103,-1.5,6,1,0,0,0,True,False,3,False
915200000,125,8,4/5,1789665548,-105,2,0,0,0,0,0,True,False,4,False
915400000,125,8,4/5,1798305588,-94,7,1,0,0,0,0,True,False,5,False
915800000,125,7,4/5,1804391531,-94,6.5,3,0,0,0,0,True,True,6,True
915400000,125,7,4/5,1810468131,-96,6.2,1,0,0,0,0,True,True,7,True
915600000,125,7,4/5,1816543555,-95,5,2,0,0,0,0,True,True,8,True
916200000,125,7,4/5,1822616308,-97,5.2,5,1,0,0,0,True,False,9,False
915800000,125,7,4/5,1832124955,-97,5,3,0,0,0,0,True,False,10,False
915200000,125,7,4/5,1841659931,-99,4.8,0,0,0,0,0,True,False,11,False
916200000,125,7,4/5,1849698636,-97,4.2,5,1,0,0,0,True,False,12,False
915200000,125,7,4/5,1858045307,-99,5.2,0,0,0,0,0,True,False,13,False
916000000,125,7,4/5,1865925219,-99,3.2,4,1,0,0,0,True,False,14,False
915400000,125,7,4/5,1875773659,-97,4.5,1,0,0,0,0,True,False,15,False
915600000,125,7,4/5,1884063379,-97,3.8,2,0,0,0,0,True,False,16,False
915400000,125,7,4/5,1893141515,-96,5,1,0,0,0,0,True,False,17,False
915800000,125,7,4/5,1902669851,-96,5.2,3,0,0,0,0,True,False,18,False
916000000,125,7,4/5,1910909675,-97,3.5,4,1,0,0,0,True,False,19,False
915600000,125,7,4/5,1919691507,-97,4.5,2,0,0,0,0,True,False,20,False
915400000,125,7,4/5,1928394355,-96,4.8,1,0,0,0,0,True,True,21,False
915800000,125,7,4/5,1936994027,-101,2.8,3,0,0,0,0,True,True,22,False
916000000,125,7,4/5,1943066851,-100,1.8,4,1,0,0,0,True,False,23,False
915200000,125,7,4/5,1951858459,-100,5.2,0,0,0,0,0,True,False,24,False
916600000,125,7,4/5,1960316644,-95,6.2,7,1,0,0,0,True,False,25,False
916000000,125,12,4/5,2809807916,-105,-15.5,4,1,0,0,0,True,False,0,False
915800000,125,12,4/5,2817476164,-105,-15.8,3,0,0,0,0,True,True,1,True
916600000,125,12,4/5,2825060676,-107,-12.2,7,1,0,0,0,True,False,2,False
915200000,125,12,4/5,2836023108,-107,-8,0,0,0,0,0,True,False,3,False
916600000,125,12,4/5,2845169940,-105,-10.2,7,1,0,0,0,True,False,4,False
916000000,125,12,4/5,2855725780,-105,-17.8,4,1,0,0,0,True,False,5,False
915200000,125,12,4/5,2866739948,-108,-8.2,0,0,0,0,0,True,False,6,False
915800000,125,12,4/5,2886532684,-107,-10,3,0,0,0,0,True,False,8,False
915200000,125,12,4/5,2905518900,-107,-11.5,0,0,0,0,0,True,False,10,False
915200000,125,12,4/5,2926904644,-106,-10.2,0,0,0,0,0,True,False,12,False
916400000,125,12,4/5,2936911380,-103,-14.2,6,1,0,0,0,True,False,13,False
916200000,125,12,4/5,2946846892,-105,-14.5,5,1,0,0,0,True,True,14,False
915400000,125,12,4/5,2954431476,-103,-13.5,1,0,0,0,0,True,False,15,False
915200000,125,12,4/5,2964725500,-106,-17.2,0,0,0,0,0,True,False,16,False
916600000,125,12,4/5,2975303036,-105,-16,7,1,0,0,0,True,False,17,False
916600000,125,12,4/5,3260477404,-96,4.8,7,1,0,0,0,True,False,0,False
915400000,125,8,4/5,3266929564,-105,-6,1,0,0,0,0,True,True,1,True
916000000,125,8,4/5,3275326620,-102,-2,4,1,0,0,0,True,True,2,False
915400000,125,7,4/5,3281412539,-100,1.8,1,0,0,0,0,True,True,3,True
915200000,125,7,4/5,3287485299,-101,0.8,0,0,0,0,0,True,False,4,False
915800000,125,7,4/5,3295662771,-98,3.8,3,0,0,0,0,True,False,5,False
915400000,125,7,4/5,3305352291,-102,-0.5,1,0,0,0,0,True,False,6,False
915800000,125,7,4/5,3314613403,-103,-6.2,3,0,0,0,0,True,False,7,False
915600000,125,7,4/5,3322821939,-102,-2.2,2,0,0,0,0,True,False,8,False
915400000,125,7,4/5,3330733755,-99,3.5,1,0,0,0,0,True,False,9,False
916400000,125,7,4/5,3348896180,-100,0.2,6,1,0,0,0,True,False,11,False
916200000,125,7,4/5,3358010260,-103,-2.5,5,1,0,0,0,True,False,12,False
916400000,125,7,4/5,3366256980,-100,-0.5,6,1,0,0,0,True,False,13,False
916000000,125,12,4/5,3392312612,-102,-15.5,4,1,0,0,0,True,False,0,False
916400000,125,12,4/5,3399980756,-103,-5.5,6,1,0,0,0,True,True,1,True
915600000,125,11,4/5,3407028836,-105,-3.2,2,0,0,0,0,True,True,2,True
916000000,125,11,4/5,3417264908,-103,-7,4,1,0,0,0,True,True,3,False
915600000,125,10,4/5,3423773684,-105,-5.5,2,0,0,0,0,True,True,4,True
916200000,125,10,4/5,3430187916,-103,-4.2,5,1,0,0,0,True,False,5,False
915400000,125,10,4/5,3439351924,-101,-1.5,1,0,0,0,0,True,False,6,False
916200000,125,10,4/5,3448568556,-99,2.2,5,1,0,0,0,True,False,7,False
916400000,125,8,4/5,3454766404,-103,-6,6,1,0,0,0,True,True,8,True
915200000,125,8,4/5,3460890788,-107,-7.5,0,0,0,0,0,True,False,9,False
915800000,125,8,4/5,3469732828,-103,-9,3,0,0,0,0,True,False,10,False
915400000,125,8,4/5,3478734644,-100,2.8,1,0,0,0,0,True,False,11,False
916200000,125,8,4/5,3488483140,-98,3.2,5,1,0,0,0,True,False,12,False
916600000,125,7,4/5,3494569068,-106,-3,7,1,0,0,0,True,True,13,True
