fCnt,data,adr,dr,frequency
0,OTAA,True,0,916000000
1,OTAA,True,4,916400000
3,OTAA,True,5,915200000
4,OTAA,True,5,916000000
5,OTAA,True,5,915600000
6,OTAA,True,5,915800000
7,OTAA,True,5,916600000
8,OTAA,True,5,916000000
9,OTAA,True,5,916400000
10,OTAA,True,5,915400000
11,OTAA,True,5,916200000
12,OTAA,True,5,916600000
13,OTAA,True,5,915200000
14,OTAA,True,5,916400000
15,OTAA,True,5,915800000
16,OTAA,True,5,915200000
17,OTAA,True,5,916400000
19,OTAA,True,5,916600000
20,OTAA,True,5,915400000
21,OTAA,True,5,915200000
22,OTAA,True,5,916200000
23,OTAA,True,5,915800000
24,OTAA,True,5,916600000
25,OTAA,True,5,915800000
26,OTAA,True,5,916200000
27,OTAA,True,5,916000000
28,OTAA,True,5,916600000
29,OTAA,True,5,915800000
30,OTAA,True,5,915400000
31,OTAA,True,5,916200000
32,OTAA,True,5,916600000
33,OTAA,True,5,916000000
34,OTAA,True,5,916200000
36,OTAA,True,5,916200000
37,OTAA,True,5,915400000
38,OTAA,True,5,915800000
39,OTAA,True,5,915400000
40,OTAA,True,5,916400000
41,OTAA,True,5,916200000
42,OTAA,True,5,916400000
43,OTAA,True,5,916000000
44,OTAA,True,5,915200000
45,OTAA,True,5,916600000
46,OTAA,True,5,916200000
48,OTAA,True,5,916400000
49,OTAA,True,5,916600000
50,OTAA,True,5,916200000
51,OTAA,True,5,915600000
52,OTAA,True,5,916400000
53,OTAA,True,5,916600000
56,OTAA,True,5,915800000
57,OTAA,True,5,915200000
58,OTAA,True,5,916200000
59,OTAA,True,5,915800000
60,OTAA,True,5,915200000
61,OTAA,True,5,915800000
62,OTAA,True,5,916200000
64,OTAA,True,5,916200000
65,OTAA,True,5,916000000
67,OTAA,True,5,916200000
68,OTAA,True,5,916000000
69,OTAA,True,5,916600000
70,OTAA,True,5,916000000
71,OTAA,True,5,916600000
72,OTAA,True,5,916400000
73,OTAA,True,5,916000000
75,OTAA,True,5,916000000
76,OTAA,True,5,916200000
77,OTAA,True,5,916600000
79,OTAA,True,5,915600000
80,OTAA,True,5,915200000
81,OTAA,True,5,916600000
83,OTAA,True,5,916600000
84,OTAA,True,5,916200000
85,OTAA,True,5,915800000
87,OTAA,True,5,916000000
88,OTAA,True,5,915600000
90,OTAA,True,5,915600000
91,OTAA,True,5,916400000
92,OTAA,True,5,915800000
93,OTAA,True,5,915400000
94,OTAA,True,5,915600000
95,OTAA,True,5,916000000
96,OTAA,True,5,915200000
97,OTAA,True,5,916600000
98,OTAA,True,5,915400000
99,OTAA,True,5,916600000
100,OTAA,True,5,915400000
