frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
916000000,125,12,4/5,2703088644,-102,2,4,1,0,0,0,True,False,0,False
916400000,125,8,4/5,2709540772,-100,3.8,6,1,0,0,0,True,True,1,True
915200000,125,7,4/5,2724623819,-105,-2.5,0,0,0,0,0,True,True,3,False
916000000,125,7,4/5,2730696547,-103,-3.5,4,1,0,0,0,True,False,4,False
915600000,125,7,4/5,2739816395,-103,-7.5,2,0,0,0,0,True,False,5,False
915800000,125,7,4/5,2748615211,-102,-1,3,0,0,0,0,True,False,6,False
916600000,125,7,4/5,2757027788,-100,-1.5,7,1,0,0,0,True,False,7,False
916000000,125,7,4/5,2765752675,-102,-3.8,4,1,0,0,0,True,False,8,False
916400000,125,7,4/5,2773941812,-101,-0.2,6,1,0,0,0,True,False,9,False
915400000,125,7,4/5,2783636435,-103,-5,1,0,0,0,0,True,False,10,False
916200000,125,7,4/5,2793098988,-101,0.2,5,1,0,0,0,True,False,11,False
916600000,125,7,4/5,2800996348,-101,2,7,1,0,0,0,True,False,12,False
915200000,125,7,4/5,2810846283,-103,-3,0,0,0,0,0,True,False,13,False
916400000,125,7,4/5,2819493788,-102,-2.5,6,1,0,0,0,True,False,14,False
915800000,125,7,4/5,2828522883,-101,-1.8,3,0,0,0,0,True,False,15,False
915200000,125,7,4/5,2837766019,-105,-2.5,0,0,0,0,0,True,True,16,False
916400000,125,7,4/5,2843838756,-100,1,6,1,0,0,0,True,False,17,False
916600000,125,7,4/5,2861947284,-99,2.8,7,1,0,0,0,True,False,19,False
915400000,125,7,4/5,2871708331,-103,-6.5,1,0,0,0,0,True,False,20,False
915200000,125,7,4/5,2880729803,-103,-1.5,0,0,0,0,0,True,False,21,False
916200000,125,7,4/5,2886805356,-98,3.2,5,1,0,0,0,True,True,22,True
915800000,125,7,4/5,2892880907,-101,0.5,3,0,0,0,0,True,True,23,True
916600000,125,7,4/5,2898953756,-99,3.5,7,1,0,0,0,True,False,24,False
915800000,125,7,4/5,2907150715,-100,0.8,3,0,0,0,0,True,False,25,False
916200000,125,7,4/5,2915296380,-100,3,5,1,0,0,0,True,False,26,False
916000000,125,7,4/5,2923923051,-101,-0.5,4,1,0,0,0,True,False,27,False
