fCnt,data,adr,dr,frequency
1,OTAA,True,0,915600000
2,OTAA,True,0,915200000
3,OTAA,True,0,916000000
4,OTAA,True,0,916200000
5,OTAA,True,0,915400000
6,OTAA,True,0,916000000
8,OTAA,True,0,916200000
9,OTAA,True,0,916600000
10,OTAA,True,0,915800000
11,OTAA,True,0,915600000
12,OTAA,True,0,916400000
13,OTAA,True,0,915800000
15,OTAA,True,0,915600000
17,OTAA,True,0,915600000
18,OTAA,True,0,916000000
19,OTAA,True,0,915400000
20,OTAA,True,0,915200000
21,OTAA,True,0,915600000
22,OTAA,True,0,916200000
23,OTAA,True,0,915800000
24,OTAA,True,0,916600000
25,OTAA,True,0,916000000
26,OTAA,True,0,916600000
27,OTAA,True,0,916400000
28,OTAA,True,0,915800000
29,OTAA,True,0,915400000
30,OTAA,True,0,915600000
31,OTAA,True,0,915800000
32,OTAA,True,0,916200000
33,OTAA,True,0,915800000
35,OTAA,True,0,915400000
36,OTAA,True,0,916000000
37,OTAA,True,0,916600000
38,OTAA,True,0,916400000
40,OTAA,True,0,916200000
41,OTAA,True,0,916000000
43,OTAA,True,0,916400000
44,OTAA,True,0,915400000
45,OTAA,True,0,915800000
46,OTAA,True,0,915400000
47,OTAA,True,0,916000000
49,OTAA,True,0,916200000
51,OTAA,True,0,916000000
52,OTAA,True,0,916400000
53,OTAA,True,0,916200000
54,OTAA,True,0,915800000
55,OTAA,True,0,916200000
57,OTAA,True,0,915800000
58,OTAA,True,0,916600000
59,OTAA,True,0,916200000
61,OTAA,True,0,916200000
62,OTAA,True,0,916000000
63,OTAA,True,0,915800000
64,OTAA,True,0,915400000
65,OTAA,True,0,915200000
66,OTAA,True,0,916400000
68,OTAA,True,0,916400000
69,OTAA,True,0,916200000
71,OTAA,True,0,916200000
72,OTAA,True,0,915600000
73,OTAA,True,0,916200000
74,OTAA,True,0,915200000
75,OTAA,True,0,915400000
76,OTAA,True,0,916400000
77,OTAA,True,0,915200000
79,OTAA,True,0,916200000
81,OTAA,True,0,915800000
82,OTAA,True,0,915200000
83,OTAA,True,0,915800000
84,OTAA,True,0,916600000
85,OTAA,True,0,916400000
87,OTAA,True,0,915800000
89,OTAA,True,0,916600000
90,OTAA,True,0,915200000
91,OTAA,True,0,916400000
92,OTAA,True,0,916200000
93,OTAA,True,0,916600000
94,OTAA,True,0,916000000
96,OTAA,True,0,916200000
97,OTAA,True,0,915600000
98,OTAA,True,0,915800000
99,OTAA,True,0,916000000
100,OTAA,True,0,915600000
