frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
915600000,125,12,4/5,1127704908,-102,-8,2,0,0,0,0,True,False,1,False
915200000,125,12,4/5,1135373156,-107,-15,0,0,0,0,0,True,True,2,True
916000000,125,12,4/5,1142957644,-105,-13.5,4,1,0,0,0,True,False,3,False
916200000,125,12,4/5,1152430356,-105,-17,5,1,0,0,0,True,False,4,False
915400000,125,12,4/5,1162213436,-105,-11.5,1,0,0,0,0,True,False,5,False
916000000,125,12,4/5,1173281228,-105,-10,4,1,0,0,0,True,False,6,False
916200000,125,12,4/5,1192875428,-102,-9.8,5,1,0,0,0,True,False,8,False
916600000,125,12,4/5,1203066700,-105,-9,7,1,0,0,0,True,False,9,False
915800000,125,12,4/5,1212754516,-105,-11.2,3,0,0,0,0,True,False,10,False
915600000,125,12,4/5,1223518412,-103,-16.5,2,0,0,0,0,True,False,11,False
916400000,125,12,4/5,1234091300,-105,-7.8,6,1,0,0,0,True,False,12,False
915800000,125,12,4/5,1244247388,-102,-8.8,3,0,0,0,0,True,False,13,False
915600000,125,12,4/5,1263859660,-103,-16.5,2,0,0,0,0,True,True,15,False
915600000,125,12,4/5,1285116764,-105,-12.8,2,0,0,0,0,True,True,17,False
916000000,125,12,4/5,1292701396,-103,-9.2,4,1,0,0,0,True,False,18,False
915400000,125,12,4/5,1303148188,-103,-8.2,1,0,0,0,0,True,False,19,False
915200000,125,12,4/5,1313742860,-107,-9.2,0,0,0,0,0,True,False,20,False
915600000,125,12,4/5,1324879036,-103,-13,2,0,0,0,0,True,False,21,False
916200000,125,12,4/5,1335866412,-105,-11.5,5,1,0,0,0,True,False,22,False
915800000,125,12,4/5,1345035100,-105,-11,3,0,0,0,0,True,False,23,False
916600000,125,12,4/5,1354215036,-105,-8.2,7,1,0,0,0,True,False,24,False
916000000,125,12,4/5,1361840756,-103,-12,4,1,0,0,0,True,True,25,True
916600000,125,12,4/5,1369466492,-105,-16,7,1,0,0,0,True,True,26,True
916400000,125,12,4/5,1377051100,-105,-11.2,6,1,0,0,0,True,False,27,False
915800000,125,12,4/5,1386593884,-105,-12,3,0,0,0,0,True,False,28,False
915400000,125,12,4/5,1396225828,-105,-18,1,0,0,0,0,True,False,29,False
915600000,125,12,4/5,1406903428,-102,-15.5,2,0,0,0,0,True,False,30,False
915800000,125,12,4/5,1416967364,-105,-18.2,3,0,0,0,0,True,False,31,False
916200000,125,12,4/5,1426281788,-105,-11.2,5,1,0,0,0,True,False,32,False
915800000,125,12,4/5,1436295580,-103,-14.2,3,0,0,0,0,True,False,33,False
915400000,125,12,4/5,1457224356,-103,-10.5,1,0,0,0,0,True,False,35,False
916000000,125,12,4/5,1467055340,-105,-12.8,4,1,0,0,0,True,False,36,False
916600000,125,12,4/5,1477112556,-103,-16.5,7,1,0,0,0,True,False,37,False
916400000,125,12,4/5,1487089764,-105,-9.5,6,1,0,0,0,True,False,38,False
916200000,125,12,4/5,1506505460,-103,-14,5,1,0,0,0,True,True,40,False
916000000,125,12,4/5,1514091268,-105,-12.2,4,1,0,0,0,True,False,41,False
916400000,125,12,4/5,1535191628,-103,-9.2,6,1,0,0,0,True,False,43,False
915400000,125,12,4/5,1544971236,-105,-15.2,1,0,0,0,0,True,False,44,False
915800000,125,12,4/5,1555941172,-105,-13.5,3,0,0,0,0,True,False,45,False
915400000,125,12,4/5,1565965132,-102,-13.5,1,0,0,0,0,True,False,46,False
916000000,125,12,4/5,1575688092,-103,-9,4,1,0,0,0,True,False,47,False
916200000,125,12,4/5,1596355732,-103,-15.2,5,1,0,0,0,True,False,49,False
916000000,125,12,4/5,1617500236,-105,-10,4,1,0,0,0,True,False,51,False
916400000,125,12,4/5,1628265708,-105,-13.5,6,1,0,0,0,True,False,52,False
916200000,125,12,4/5,1638637348,-105,-15.5,5,1,0,0,0,True,True,53,False
915800000,125,12,4/5,1646221948,-103,-12.5,3,0,0,0,0,True,False,54,False
916200000,125,12,4/5,1657320812,-105,-11.5,5,1,0,0,0,True,False,55,False
915800000,125,12,4/5,1678078532,-103,-11.5,3,0,0,0,0,True,False,57,False
916600000,125,12,4/5,1689159468,-105,-15.5,7,1,0,0,0,True,False,58,False
916200000,125,12,4/5,1700024708,-105,-9.5,5,1,0,0,0,True,False,59,False
916200000,125,12,4/5,1720713548,-105,-12.2,5,1,0,0,0,True,False,61,False
916000000,125,12,4/5,1729944660,-105,-17,4,1,0,0,0,True,False,62,False
915800000,125,12,4/5,1739093388,-105,-13.5,3,0,0,0,0,True,False,63,False
915400000,125,12,4/5,1748419196,-105,-11.8,1,0,0,0,0,True,False,64,False
915200000,125,12,4/5,1759092220,-107,-15.2,0,0,0,0,0,True,False,65,False
916400000,125,12,4/5,1769733260,-103,-11.5,6,1,0,0,0,True,True,66,False
916400000,125,12,4/5,1787149500,-105,-7.5,6,1,0,0,0,True,False,68,False
916200000,125,12,4/5,1797041372,-105,-14.2,5,1,0,0,0,True,False,69,False
916200000,125,12,4/5,1816678428,-105,-16.5,5,1,0,0,0,True,False,71,False
915600000,125,12,4/5,1827035468,-103,-11.2,2,0,0,0,0,True,False,72,False
916200000,125,12,4/5,1836760764,-103,-14,5,1,0,0,0,True,False,73,False
915200000,125,12,4/5,1846306084,-107,-15.2,0,0,0,0,0,True,False,74,False
915400000,125,12,4/5,1856883012,-105,-15.5,1,0,0,0,0,True,False,75,False
916400000,125,12,4/5,1866702708,-103,-18,6,1,0,0,0,True,False,76,False
915200000,125,12,4/5,1876541876,-107,-18.8,0,0,0,0,0,True,False,77,False
916200000,125,12,4/5,1897468500,-105,-12,5,1,0,0,0,True,True,79,False
915800000,125,12,4/5,1916130468,-103,-12.2,3,0,0,0,0,True,False,81,False
915200000,125,12,4/5,1926479588,-107,-13.8,0,0,0,0,0,True,False,82,False
915800000,125,12,4/5,1935630332,-105,-13.2,3,0,0,0,0,True,False,83,False
916600000,125,12,4/5,1944926908,-103,-12.5,7,1,0,0,0,True,False,84,False
916400000,125,12,4/5,1956049980,-102,-9.8,6,1,0,0,0,True,False,85,False
915800000,125,12,4/5,1976217220,-103,-13.2,3,0,0,0,0,True,False,87,False
916600000,125,12,4/5,1996868660,-103,-14,7,1,0,0,0,True,False,89,False
915200000,125,12,4/5,2007874420,-107,-14.8,0,0,0,0,0,True,False,90,False
916400000,125,12,4/5,2017564796,-105,-10.2,6,1,0,0,0,True,False,91,False
916200000,125,12,4/5,2027377252,-103,-12.8,5,1,0,0,0,True,True,92,False
916600000,125,12,4/5,2034961852,-105,-13,7,1,0,0,0,True,False,93,False
916000000,125,12,4/5,2045594796,-105,-11.8,4,1,0,0,0,True,False,94,False
916200000,125,12,4/5,2065827956,-102,-12.2,5,1,0,0,0,True,False,96,False
915600000,125,12,4/5,2075711668,-105,-18.5,2,0,0,0,0,True,False,97,False
915800000,125,12,4/5,2086048460,-103,-12.8,3,0,0,0,0,True,False,98,False
916000000,125,12,4/5,2097089972,-105,-18.5,4,1,0,0,0,True,False,99,False
915600000,125,12,4/5,2117281460,-103,-15,2,0,0,0,0,True,False,100,False
