fCnt,data,adr,dr,frequency
0,OTAA,True,0,915600000
1,OTAA,True,0,915400000
4,OTAA,True,0,915400000
6,OTAA,True,0,916000000
8,OTAA,True,0,916000000
9,OTAA,True,0,915400000
10,OTAA,True,0,916200000
11,OTAA,True,0,915200000
13,OTAA,True,0,915400000
15,OTAA,True,0,915600000
16,OTAA,True,0,916000000
17,OTAA,True,0,915600000
19,OTAA,True,0,915600000
20,OTAA,True,0,915800000
21,OTAA,True,0,916400000
23,OTAA,True,0,915400000
27,OTAA,True,0,916200000
31,OTAA,True,0,915200000
33,OTAA,True,0,915200000
34,OTAA,True,0,916400000
35,OTAA,True,0,916200000
37,OTAA,True,0,916200000
39,OTAA,True,0,915600000
40,OTAA,True,0,916400000
41,OTAA,True,0,915400000
42,OTAA,True,0,915200000
44,OTAA,True,0,915400000
45,OTAA,True,0,916000000
47,OTAA,True,0,915400000
50,OTAA,True,0,915200000
57,OTAA,True,0,915200000
58,OTAA,True,0,915400000
59,OTAA,True,0,916600000
61,OTAA,True,0,915200000
64,OTAA,True,0,916600000
65,OTAA,True,0,915800000
66,OTAA,True,0,916200000
67,OTAA,True,0,916000000
68,OTAA,True,0,915600000
70,OTAA,True,0,915800000
72,OTAA,True,0,915600000
75,OTAA,True,0,915400000
79,OTAA,True,0,916000000
80,OTAA,True,0,915200000
82,OTAA,True,0,915400000
83,OTAA,True,0,915800000
84,OTAA,True,0,915600000
85,OTAA,True,0,916200000
86,OTAA,True,0,915600000
88,OTAA,True,0,916200000
90,OTAA,True,0,915200000
100,OTAA,True,0,915200000
