frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
915600000,125,12,4/5,4084961212,-103,-15,2,0,0,0,0,True,False,0,False
915400000,125,12,4/5,4092629348,-103,-12.2,1,0,0,0,0,True,True,1,True
915400000,125,12,4/5,4120982988,-105,-12.5,1,0,0,0,0,True,False,4,False
916000000,125,12,4/5,4141442332,-105,-15,4,1,0,0,0,True,False,6,False
916000000,125,12,4/5,4160542652,-105,-16.2,4,1,0,0,0,True,False,8,False
915400000,125,12,4/5,4170343180,-103,-9.8,1,0,0,0,0,True,False,9,False
916200000,125,12,4/5,4180067148,-103,-17.2,5,1,0,0,0,True,False,10,False
915200000,125,12,4/5,4189713316,-107,-12,0,0,0,0,0,True,False,11,False
915400000,125,12,4/5,4210408508,-105,-9.8,1,0,0,0,0,True,False,13,False
915600000,125,12,4/5,4230598004,-103,-15.8,2,0,0,0,0,True,True,15,False
916000000,125,12,4/5,4238182548,-105,-16,4,1,0,0,0,True,False,16,False
915600000,125,12,4/5,4248954340,-103,-13,2,0,0,0,0,True,False,17,False
915600000,125,12,4/5,4268881388,-103,-18,2,0,0,0,0,True,False,19,False
915800000,125,12,4/5,4278038436,-103,-16.2,3,0,0,0,0,True,False,20,False
916400000,125,12,4/5,4288076124,-103,-15,6,1,0,0,0,True,False,21,False
915400000,125,12,4/5,13124972,-105,-9.8,1,0,0,0,0,True,False,23,False
916200000,125,12,4/5,52671052,-103,-19.2,5,1,0,0,0,True,False,27,False
915200000,125,12,4/5,93016572,-106,-18,0,0,0,0,0,True,True,31,False
915200000,125,12,4/5,111679532,-105,-16,0,0,0,0,0,True,False,33,False
916400000,125,12,4/5,121737972,-105,-19,6,1,0,0,0,True,False,34,False
916200000,125,12,4/5,129363708,-105,-16,5,1,0,0,0,True,True,35,True
916200000,125,12,4/5,147082316,-105,-18.8,5,1,0,0,0,True,False,37,False
915600000,125,12,4/5,167515260,-105,-14.8,2,0,0,0,0,True,False,39,False
916400000,125,12,4/5,177236316,-105,-18.5,6,1,0,0,0,True,False,40,False
915400000,125,12,4/5,188282524,-105,-10.5,1,0,0,0,0,True,False,41,False
915200000,125,12,4/5,198004020,-105,-11.5,0,0,0,0,0,True,False,42,False
915400000,125,12,4/5,217395308,-105,-11,1,0,0,0,0,True,False,44,False
916000000,125,12,4/5,226779076,-105,-16.8,4,1,0,0,0,True,False,45,False
915400000,125,12,4/5,248048452,-105,-13.2,1,0,0,0,0,True,False,47,False
915200000,125,12,4/5,277542340,-105,-12.8,0,0,0,0,0,True,True,50,False
915200000,125,12,4/5,346510148,-106,-18.2,0,0,0,0,0,True,False,57,False
915400000,125,12,4/5,355775020,-105,-15,1,0,0,0,0,True,False,58,False
916600000,125,12,4/5,365554276,-105,-16,7,1,0,0,0,True,False,59,False
915200000,125,12,4/5,384897980,-107,-17,0,0,0,0,0,True,False,61,False
916600000,125,12,4/5,415233028,-107,-18,7,1,0,0,0,True,True,64,False
915800000,125,12,4/5,422817620,-105,-15,3,0,0,0,0,True,False,65,False
916200000,125,12,4/5,432083652,-105,-17,5,1,0,0,0,True,False,66,False
916000000,125,12,4/5,441709004,-105,-15,4,1,0,0,0,True,False,67,False
915600000,125,12,4/5,451639412,-105,-13.5,2,0,0,0,0,True,False,68,False
915800000,125,12,4/5,471986108,-105,-17.5,3,0,0,0,0,True,False,70,False
915600000,125,12,4/5,492354652,-105,-16.8,2,0,0,0,0,True,False,72,False
915400000,125,12,4/5,523751068,-105,-10.2,1,0,0,0,0,True,False,75,False
916000000,125,12,4/5,566154908,-103,-15.8,4,1,0,0,0,True,True,79,False
915200000,125,12,4/5,573739508,-107,-11.5,0,0,0,0,0,True,False,80,False
915400000,125,12,4/5,594437532,-103,-9.8,1,0,0,0,0,True,False,82,False
915800000,125,12,4/5,604814644,-105,-16.5,3,0,0,0,0,True,False,83,False
915600000,125,12,4/5,614042596,-105,-13.5,2,0,0,0,0,True,False,84,False
916200000,125,12,4/5,624961540,-103,-17.2,5,1,0,0,0,True,False,85,False
915600000,125,12,4/5,634633220,-105,-14.8,2,0,0,0,0,True,False,86,False
916200000,125,12,4/5,655117244,-103,-17,5,1,0,0,0,True,False,88,False
915200000,125,12,4/5,674162812,-107,-15.5,0,0,0,0,0,True,False,90,False
915200000,125,12,4/5,798952668,-107,-14.5,0,0,0,0,0,True,True,100,False
