fCnt,data,adr,dr,frequency
0,OTAA,True,0,915600000
1,OTAA,True,0,916200000
2,OTAA,True,0,915200000
3,OTAA,True,0,915600000
4,OTAA,True,0,916000000
5,OTAA,True,0,916400000
6,OTAA,True,0,915200000
7,OTAA,True,0,915800000
8,OTAA,True,1,916400000
9,OTAA,True,1,915600000
10,OTAA,True,1,916600000
11,OTAA,True,1,915200000
12,OTAA,True,1,916000000
13,OTAA,True,1,916400000
14,OTAA,True,1,915800000
15,OTAA,True,1,915600000
16,OTAA,True,1,916600000
17,OTAA,True,1,916000000
18,OTAA,True,1,916400000
19,OTAA,True,1,915800000
20,OTAA,True,1,915400000
21,OTAA,True,1,915600000
22,OTAA,True,1,916000000
23,OTAA,True,1,915600000
24,OTAA,True,1,916400000
25,OTAA,True,1,916200000
26,OTAA,True,1,915400000
27,OTAA,True,1,915200000
28,OTAA,True,1,916000000
29,OTAA,True,1,916400000
30,OTAA,True,1,915400000
31,OTAA,True,1,915200000
32,OTAA,True,1,915400000
33,OTAA,True,1,916400000
34,OTAA,True,1,916200000
35,OTAA,True,1,916600000
36,OTAA,True,1,915400000
37,OTAA,True,1,915800000
38,OTAA,True,1,915200000
39,OTAA,True,1,916000000
40,OTAA,True,1,915600000
41,OTAA,True,1,916600000
42,OTAA,True,1,915600000
43,OTAA,True,1,915400000
44,OTAA,True,1,915800000
45,OTAA,True,1,916000000
46,OTAA,True,1,915600000
47,OTAA,True,1,915400000
48,OTAA,True,1,915200000
49,OTAA,True,1,915600000
50,OTAA,True,1,916400000
51,OTAA,True,1,915200000
52,OTAA,True,1,916600000
53,OTAA,True,1,915600000
54,OTAA,True,1,916400000
55,OTAA,True,1,916600000
56,OTAA,True,1,915200000
57,OTAA,True,1,916400000
58,OTAA,True,1,915400000
59,OTAA,True,1,916000000
60,OTAA,True,1,916200000
61,OTAA,True,1,915800000
62,OTAA,True,1,915600000
63,OTAA,True,1,916400000
64,OTAA,True,1,915600000
65,OTAA,True,1,916200000
66,OTAA,True,1,916600000
67,OTAA,True,1,915400000
68,OTAA,True,1,915800000
69,OTAA,True,1,915600000
70,OTAA,True,1,916000000
71,OTAA,True,1,915400000
72,OTAA,True,1,915200000
73,OTAA,True,1,916000000
74,OTAA,True,1,916400000
75,OTAA,True,1,915600000
76,OTAA,True,1,916000000
77,OTAA,True,1,915400000
78,OTAA,True,1,916600000
79,OTAA,True,1,916200000
80,OTAA,True,1,915200000
81,OTAA,True,1,916600000
82,OTAA,True,1,915800000
83,OTAA,True,1,915400000
84,OTAA,True,1,916400000
85,OTAA,True,1,916200000
86,OTAA,True,1,915600000
87,OTAA,True,1,916200000
88,OTAA,True,1,915400000
89,OTAA,True,1,916000000
90,OTAA,True,1,916400000
91,OTAA,True,1,916000000
92,OTAA,True,1,916400000
93,OTAA,True,1,915800000
94,OTAA,True,1,916000000
95,OTAA,True,1,916400000
96,OTAA,True,1,916200000
97,OTAA,True,1,915800000
98,OTAA,True,1,916600000
99,OTAA,True,1,916200000
100,OTAA,True,1,916600000
