frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
915600000,125,12,4/5,2989428012,-103,-11,2,0,0,0,0,True,False,0,False
916200000,125,12,4/5,2997096156,-103,-9.2,5,1,0,0,0,True,True,1,True
915200000,125,12,4/5,3004680620,-105,-11.5,0,0,0,0,0,True,False,2,False
915600000,125,12,4/5,3014667668,-102,-9.5,2,0,0,0,0,True,False,3,False
916000000,125,12,4/5,3025162692,-105,-9.5,4,1,0,0,0,True,False,4,False
916400000,125,12,4/5,3036266028,-102,-8.2,6,1,0,0,0,True,False,5,False
915200000,125,12,4/5,3046342724,-105,-8.5,0,0,0,0,0,True,False,6,False
915800000,125,12,4/5,3057214180,-105,-7,3,0,0,0,0,True,False,7,False
916400000,125,11,4/5,3064262260,-105,-8.8,6,1,0,0,0,True,True,8,True
915600000,125,11,4/5,3071080084,-102,-6,2,0,0,0,0,True,False,9,False
916600000,125,11,4/5,3080120340,-105,-8.5,7,1,0,0,0,True,False,10,False
915200000,125,11,4/5,3089263972,-106,-13.2,0,0,0,0,0,True,False,11,False
916000000,125,11,4/5,3099205988,-103,-10.8,4,1,0,0,0,True,False,12,False
916400000,125,11,4/5,3109206900,-105,-7.2,6,1,0,0,0,True,False,13,False
915800000,125,11,4/5,3119045836,-105,-8.5,3,0,0,0,0,True,False,14,False
915600000,125,11,4/5,3128548300,-105,-9.2,2,0,0,0,0,True,False,15,False
916600000,125,11,4/5,3137598372,-107,-8.2,7,1,0,0,0,True,False,16,False
916000000,125,11,4/5,3146830420,-103,-9,4,1,0,0,0,True,False,17,False
916400000,125,11,4/5,3156210532,-105,-7,6,1,0,0,0,True,False,18,False
915800000,125,11,4/5,3165233580,-103,-6.5,3,0,0,0,0,True,False,19,False
915400000,125,11,4/5,3175456372,-103,-9.2,1,0,0,0,0,True,False,20,False
915600000,125,11,4/5,3184619828,-105,-11.2,2,0,0,0,0,True,True,21,False
916000000,125,11,4/5,3191437780,-103,-6.8,4,1,0,0,0,True,False,22,False
915600000,125,11,4/5,3200915724,-105,-11.5,2,0,0,0,0,True,False,23,False
916400000,125,11,4/5,3210907956,-105,-9.8,6,1,0,0,0,True,False,24,False
916200000,125,11,4/5,3219840820,-103,-8.8,5,1,0,0,0,True,False,25,False
915400000,125,11,4/5,3228426820,-103,-10.5,1,0,0,0,0,True,False,26,False
915200000,125,11,4/5,3237032348,-106,-10,0,0,0,0,0,True,False,27,False
916000000,125,11,4/5,3246295060,-105,-8.5,4,1,0,0,0,True,False,28,False
916400000,125,11,4/5,3254832756,-103,-7.8,6,1,0,0,0,True,False,29,False
915400000,125,11,4/5,3264328412,-105,-9,1,0,0,0,0,True,False,30,False
915200000,125,11,4/5,3274134564,-106,-7.8,0,0,0,0,0,True,False,31,False
915400000,125,11,4/5,3284064924,-105,-8.8,1,0,0,0,0,True,False,32,False
916400000,125,11,4/5,3294311468,-103,-7.8,6,1,0,0,0,True,False,33,False
916200000,125,11,4/5,3303876412,-105,-6.8,5,1,0,0,0,True,True,34,False
916600000,125,11,4/5,3312534212,-105,-5.5,7,1,0,0,0,True,True,35,False
915400000,125,11,4/5,3319352164,-103,-6.5,1,0,0,0,0,True,False,36,False
915800000,125,11,4/5,3328708604,-103,-5,3,0,0,0,0,True,False,37,False
915200000,125,11,4/5,3338630460,-105,-9.5,0,0,0,0,0,True,False,38,False
916000000,125,11,4/5,3348197460,-105,-10.8,4,1,0,0,0,True,False,39,False
915600000,125,11,4/5,3357844444,-105,-7.8,2,0,0,0,0,True,False,40,False
916600000,125,11,4/5,3366956556,-103,-7.8,7,1,0,0,0,True,False,41,False
915600000,125,11,4/5,3376823220,-105,-9.2,2,0,0,0,0,True,False,42,False
915400000,125,11,4/5,3385955556,-105,-10.2,1,0,0,0,0,True,False,43,False
915800000,125,11,4/5,3395480876,-105,-6.5,3,0,0,0,0,True,False,44,False
916000000,125,11,4/5,3404399628,-103,-8.5,4,1,0,0,0,True,False,45,False
915600000,125,11,4/5,3413845012,-103,-8.8,2,0,0,0,0,True,False,46,False
915400000,125,11,4/5,3423338652,-105,-11.8,1,0,0,0,0,True,False,47,False
915200000,125,11,4/5,3432280700,-105,-12.2,0,0,0,0,0,True,True,48,False
915600000,125,11,4/5,3439098620,-102,-8.5,2,0,0,0,0,True,False,49,False
916400000,125,11,4/5,3449050508,-105,-8.2,6,1,0,0,0,True,False,50,False
915200000,125,11,4/5,3459227588,-105,-13,0,0,0,0,0,True,False,51,False
916600000,125,11,4/5,3467936492,-103,-6.8,7,1,0,0,0,True,False,52,False
915600000,125,11,4/5,3476864348,-103,-9.2,2,0,0,0,0,True,False,53,False
916400000,125,11,4/5,3485421996,-102,-6.5,6,1,0,0,0,True,False,54,False
916600000,125,11,4/5,3495025204,-105,-7.5,7,1,0,0,0,True,False,55,False
915200000,125,11,4/5,3504437084,-106,-9.8,0,0,0,0,0,True,False,56,False
916400000,125,11,4/5,3513544308,-103,-8.2,6,1,0,0,0,True,False,57,False
915400000,125,11,4/5,3522803148,-105,-10.2,1,0,0,0,0,True,False,58,False
916000000,125,11,4/5,3533150996,-105,-11.2,4,1,0,0,0,True,False,59,False
916200000,125,11,4/5,3542071164,-105,-5.8,5,1,0,0,0,True,False,60,False
915800000,125,11,4/5,3550649132,-105,-6.5,3,0,0,0,0,True,True,61,False
915600000,125,11,4/5,3557467092,-105,-10,2,0,0,0,0,True,False,62,False
916400000,125,11,4/5,3566279116,-103,-7.2,6,1,0,0,0,True,False,63,False
915600000,125,11,4/5,3575558364,-102,-11,2,0,0,0,0,True,False,64,False
916200000,125,11,4/5,3584548748,-103,-10.8,5,1,0,0,0,True,False,65,False
916600000,125,11,4/5,3593746068,-105,-10.5,7,1,0,0,0,True,False,66,False
915400000,125,11,4/5,3603562860,-103,-10.5,1,0,0,0,0,True,False,67,False
915800000,125,11,4/5,3612960308,-105,-6.5,3,0,0,0,0,True,False,68,False
915600000,125,11,4/5,3621976540,-102,-13,2,0,0,0,0,True,False,69,False
916000000,125,11,4/5,3630482916,-105,-7.2,4,1,0,0,0,True,False,70,False
915400000,125,11,4/5,3639578444,-103,-11.5,1,0,0,0,0,True,False,71,False
915200000,125,11,4/5,3649181148,-105,-8.2,0,0,0,0,0,True,False,72,False
916000000,125,11,4/5,3659635684,-103,-9,4,1,0,0,0,True,False,73,False
916400000,125,11,4/5,3669419676,-103,-9,6,1,0,0,0,True,True,74,False
915600000,125,11,4/5,3676237612,-103,-13,2,0,0,0,0,True,False,75,False
916000000,125,11,4/5,3685501932,-105,-9,4,1,0,0,0,True,False,76,False
915400000,125,11,4/5,3695681556,-103,-10.5,1,0,0,0,0,True,False,77,False
916600000,125,11,4/5,3705301308,-105,-8.2,7,1,0,0,0,True,False,78,False
916200000,125,11,4/5,3714901044,-103,-7,5,1,0,0,0,True,False,79,False
915200000,125,11,4/5,3723833812,-107,-9,0,0,0,0,0,True,False,80,False
