fCnt,data,adr,dr,frequency
0,OTAA,True,0,915200000
1,OTAA,True,3,916600000
2,OTAA,True,5,915600000
3,OTAA,True,5,916200000
4,OTAA,True,5,916600000
5,OTAA,True,5,916200000
6,OTAA,True,5,915400000
7,OTAA,True,5,916400000
8,OTAA,True,5,915200000
9,OTAA,True,5,916000000
10,OTAA,True,5,916600000
11,OTAA,True,5,916000000
12,OTAA,True,5,915200000
13,OTAA,True,5,916400000
14,OTAA,True,5,915600000
15,OTAA,True,5,916200000
16,OTAA,True,5,916400000
17,OTAA,True,5,915200000
18,OTAA,True,5,916200000
19,OTAA,True,5,915200000
20,OTAA,True,5,916400000
21,OTAA,True,5,915600000
22,OTAA,True,5,916600000
23,OTAA,True,5,916400000
24,OTAA,True,5,915200000
25,OTAA,True,5,916000000
26,OTAA,True,5,916400000
27,OTAA,True,5,916200000
28,OTAA,True,5,915400000
29,OTAA,True,5,916000000
30,OTAA,True,5,915200000
31,OTAA,True,5,915800000
32,OTAA,True,5,916600000
33,OTAA,True,5,915400000
34,OTAA,True,5,916200000
35,OTAA,True,5,916400000
36,OTAA,True,5,915800000
37,OTAA,True,5,916600000
38,OTAA,True,5,915400000
39,OTAA,True,5,916600000
40,OTAA,True,5,916200000
41,OTAA,True,5,915600000
42,OTAA,True,5,916600000
43,OTAA,True,5,915600000
44,OTAA,True,5,915200000
45,OTAA,True,5,916600000
46,OTAA,True,5,915200000
47,OTAA,True,5,915600000
48,OTAA,True,5,915800000
49,OTAA,True,5,916600000
50,OTAA,True,5,915800000
51,OTAA,True,5,916600000
52,OTAA,True,5,916400000
53,OTAA,True,5,916200000
54,OTAA,True,5,916400000
55,OTAA,True,5,916200000
56,OTAA,True,5,916000000
57,OTAA,True,5,915200000
58,OTAA,True,5,915400000
59,OTAA,True,5,916400000
60,OTAA,True,5,916000000
61,OTAA,True,5,915200000
62,OTAA,True,5,915400000
63,OTAA,True,5,916200000
64,OTAA,True,5,915800000
65,OTAA,True,5,916600000
66,OTAA,True,5,915800000
67,OTAA,True,5,916000000
68,OTAA,True,5,915200000
69,OTAA,True,5,915800000
70,OTAA,True,5,916000000
71,OTAA,True,5,915400000
72,OTAA,True,5,915600000
73,OTAA,True,5,915200000
74,OTAA,True,5,915800000
75,OTAA,True,5,916200000
76,OTAA,True,5,915600000
77,OTAA,True,5,915200000
78,OTAA,True,5,915400000
79,OTAA,True,5,916200000
80,OTAA,True,5,915800000
81,OTAA,True,5,915600000
82,OTAA,True,5,916400000
83,OTAA,True,5,916600000
84,OTAA,True,5,915800000
85,OTAA,True,5,915600000
86,OTAA,True,5,915400000
87,OTAA,True,5,915800000
88,OTAA,True,5,915200000
89,OTAA,True,5,915800000
90,OTAA,True,5,916200000
91,OTAA,True,5,916600000
92,OTAA,True,5,916400000
93,OTAA,True,5,915400000
94,OTAA,True,5,915200000
95,OTAA,True,5,916600000
96,OTAA,True,5,916400000
97,OTAA,True,5,915200000
98,OTAA,True,5,915800000
99,OTAA,True,5,915600000
100,OTAA,True,5,916600000
