frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
915200000,125,12,4/5,1500004876,-103,-0.5,0,0,0,0,0,True,False,0,False
916600000,125,9,4/5,1506539492,-101,5.2,7,1,0,0,0,True,True,1,True
915600000,125,7,4/5,1512643827,-100,2.2,2,0,0,0,0,True,True,2,True
916200000,125,7,4/5,1518716556,-96,4.2,5,1,0,0,0,True,False,3,False
916600000,125,7,4/5,1527171052,-97,4.8,7,1,0,0,0,True,False,4,False
916200000,125,7,4/5,1536200252,-95,5,5,1,0,0,0,True,False,5,False
915400000,125,7,4/5,1544782331,-97,4.2,1,0,0,0,0,True,False,6,False
916400000,125,7,4/5,1553473764,-95,5,6,1,0,0,0,True,False,7,False
915200000,125,7,4/5,1562094291,-99,4.2,0,0,0,0,0,True,False,8,False
916000000,125,7,4/5,1571424139,-95,4,4,1,0,0,0,True,False,9,False
916600000,125,7,4/5,1579759644,-94,5.5,7,1,0,0,0,True,False,10,False
916000000,125,7,4/5,1585835115,-94,5.5,4,1,0,0,0,True,True,11,True
915200000,125,7,4/5,1591910563,-101,3.8,0,0,0,0,0,True,True,12,True
916400000,125,7,4/5,1597983292,-96,4.8,6,1,0,0,0,True,False,13,False
915600000,125,7,4/5,1606458027,-99,4,2,0,0,0,0,True,False,14,False
916200000,125,7,4/5,1615471932,-99,4,5,1,0,0,0,True,False,15,False
916400000,125,7,4/5,1623380572,-96,4.2,6,1,0,0,0,True,False,16,False
915200000,125,7,4/5,1632884699,-102,2.8,0,0,0,0,0,True,False,17,False
916200000,125,7,4/5,1641981844,-97,4.5,5,1,0,0,0,True,False,18,False
915200000,125,7,4/5,1650851211,-101,2.5,0,0,0,0,0,True,False,19,False
916400000,125,7,4/5,1660664172,-97,4.8,6,1,0,0,0,True,False,20,False
915600000,125,7,4/5,1668881451,-97,2.8,2,0,0,0,0,True,False,21,False
916600000,125,7,4/5,1677486308,-97,3.5,7,1,0,0,0,True,False,22,False
916400000,125,7,4/5,1685936204,-98,2.8,6,1,0,0,0,True,False,23,False
915200000,125,7,4/5,1694748451,-102,-0.8,0,0,0,0,0,True,False,24,False
916000000,125,7,4/5,1703486459,-99,2.8,4,1,0,0,0,True,True,25,False
916400000,125,7,4/5,1709559292,-96,3.8,6,1,0,0,0,True,False,26,False
916200000,125,7,4/5,1718281388,-97,4,5,1,0,0,0,True,False,27,False
915400000,125,7,4/5,1726561883,-101,2,1,0,0,0,0,True,False,28,False
916000000,125,7,4/5,1736365755,-99,3.8,4,1,0,0,0,True,False,29,False
915200000,125,7,4/5,1744915819,-100,4,0,0,0,0,0,True,False,30,False
915800000,125,7,4/5,1754417915,-99,4,3,0,0,0,0,True,False,31,False
916600000,125,7,4/5,1763486412,-97,4,7,1,0,0,0,True,False,32,False
915400000,125,7,4/5,1772426531,-100,2.5,1,0,0,0,0,True,False,33,False
916200000,125,7,4/5,1780756852,-97,4.5,5,1,0,0,0,True,False,34,False
916400000,125,7,4/5,1790050772,-97,3.8,6,1,0,0,0,True,False,35,False
915800000,125,7,4/5,1797956411,-102,-0.8,3,0,0,0,0,True,False,36,False
916600000,125,7,4/5,1807126756,-100,3.8,7,1,0,0,0,True,False,37,False
915400000,125,7,4/5,1815468907,-101,-0.2,1,0,0,0,0,True,True,38,False
916600000,125,7,4/5,1821541756,-101,3.5,7,1,0,0,0,True,False,39,False
916200000,125,7,4/5,1830388132,-97,3,5,1,0,0,0,True,False,40,False
915600000,125,7,4/5,1839359251,-101,2.5,2,0,0,0,0,True,False,41,False
916600000,125,7,4/5,1848674620,-99,4.8,7,1,0,0,0,True,False,42,False
915600000,125,7,4/5,1856904891,-99,3.5,2,0,0,0,0,True,False,43,False
915200000,125,7,4/5,1865971467,-101,4.2,0,0,0,0,0,True,False,44,False
916600000,125,7,4/5,1875198756,-97,5,7,1,0,0,0,True,False,45,False
915200000,125,7,4/5,1883718083,-100,3.8,0,0,0,0,0,True,False,46,False
915600000,125,7,4/5,1891694019,-98,2.2,2,0,0,0,0,True,False,47,False
915800000,125,7,4/5,1899633563,-97,3.8,3,0,0,0,0,True,False,48,False
916600000,125,7,4/5,1909033692,-99,4.5,7,1,0,0,0,True,False,49,False
915800000,125,7,4/5,1918319251,-99,1.8,3,0,0,0,0,True,False,50,False
916600000,125,7,4/5,1927578020,-99,4.5,7,1,0,0,0,True,True,51,False
916400000,125,7,4/5,1933650860,-97,4.5,6,1,0,0,0,True,False,52,False
916200000,125,7,4/5,1941558628,-99,2,5,1,0,0,0,True,False,53,False
916400000,125,7,4/5,1950067788,-96,4.8,6,1,0,0,0,True,False,54,False
916200000,125,7,4/5,1958559132,-95,5.5,5,1,0,0,0,True,False,55,False
916000000,125,7,4/5,1964634667,-96,4.2,4,1,0,0,0,True,True,56,True
915200000,125,7,4/5,1970707491,-101,4,0,0,0,0,0,True,False,57,False
915400000,125,7,4/5,1979325443,-100,3.5,1,0,0,0,0,True,False,58,False
916400000,125,7,4/5,1988910772,-97,4.2,6,1,0,0,0,True,False,59,False
916000000,125,7,4/5,1997844403,-99,3,4,1,0,0,0,True,False,60,False
915200000,125,7,4/5,2006494835,-99,4.2,0,0,0,0,0,True,False,61,False
915400000,125,7,4/5,2015705755,-99,3,1,0,0,0,0,True,False,62,False
916200000,125,7,4/5,2023712548,-97,2.2,5,1,0,0,0,True,False,63,False
915800000,125,7,4/5,2032908243,-97,4.8,3,0,0,0,0,True,False,64,False
916600000,125,7,4/5,2041700484,-97,3,7,1,0,0,0,True,False,65,False
915800000,125,7,4/5,2050677059,-96,4,3,0,0,0,0,True,False,66,False
916000000,125,7,4/5,2059168083,-99,5,4,1,0,0,0,True,False,67,False
915200000,125,7,4/5,2068693755,-101,3,0,0,0,0,0,True,False,68,False
915800000,125,7,4/5,2078514515,-99,3.5,3,0,0,0,0,True,True,69,False
916000000,125,7,4/5,2084587331,-99,3.5,4,1,0,0,0,True,False,70,False
915400000,125,7,4/5,2093058699,-97,2.2,1,0,0,0,0,True,False,71,False
915600000,125,7,4/5,2101584675,-100,2.5,2,0,0,0,0,True,False,72,False
915200000,125,7,4/5,2111254619,-102,2.2,0,0,0,0,0,True,False,73,False
915800000,125,7,4/5,2119335963,-99,3.2,3,0,0,0,0,True,False,74,False
916200000,125,7,4/5,2128820524,-97,4,5,1,0,0,0,True,False,75,False
915600000,125,7,4/5,2137436267,-99,3,2,0,0,0,0,True,False,76,False
915200000,125,7,4/5,2147072611,-100,4,0,0,0,0,0,True,False,77,False
915400000,125,7,4/5,2155838115,-99,3.8,1,0,0,0,0,True,False,78,False
916200000,125,7,4/5,2164336460,-97,5.8,5,1,0,0,0,True,False,79,False
915800000,125,7,4/5,2170411987,-95,5,3,0,0,0,0,True,True,80,True
915600000,125,7,4/5,2176484811,-97,2.5,2,0,0,0,0,True,False,81,False
916400000,125,7,4/5,2184448740,-95,4.8,6,1,0,0,0,True,False,82,False
916600000,125,7,4/5,2193071924,-99,3.8,7,1,0,0,0,True,False,83,False
915800000,125,7,4/5,2200992019,-97,4.5,3,0,0,0,0,True,False,84,False
915600000,125,7,4/5,2209756467,-99,2.5,2,0,0,0,0,True,False,85,False
915400000,125,7,4/5,2218345635,-97,4.2,1,0,0,0,0,True,False,86,False
915800000,125,7,4/5,2227546651,-99,3.5,3,0,0,0,0,True,False,87,False
915200000,125,7,4/5,2235983459,-97,3.8,0,0,0,0,0,True,False,88,False
915800000,125,7,4/5,2244497995,-99,4.2,3,0,0,0,0,True,False,89,False
916200000,125,7,4/5,2253419868,-94,7.5,5,1,0,0,0,True,False,90,False
916600000,125,7,4/5,2259495428,-97,5.2,7,1,0,0,0,True,True,91,True
916400000,125,7,4/5,2265568276,-96,5.2,6,1,0,0,0,True,False,92,False
915400000,125,7,4/5,2275272195,-97,3.5,1,0,0,0,0,True,False,93,False
915200000,125,7,4/5,2284462915,-101,3.8,0,0,0,0,0,True,False,94,False
916600000,125,7,4/5,1315770156,-95,5,7,1,0,0,0,True,True,95,True
916400000,125,7,4/5,1321842876,-93,5.5,6,1,0,0,0,True,False,96,False
915200000,125,7,4/5,1327918291,-97,5.8,0,0,0,0,0,True,True,97,True
915800000,125,7,4/5,1333993755,-95,5.8,3,0,0,0,0,True,True,98,True
915600000,125,7,4/5,1340069179,-95,4.8,2,0,0,0,0,True,True,99,True
916600000,125,7,4/5,1346141908,-95,6,7,1,0,0,0,True,False,100,False
