fCnt,rssi,dr,freq
0,OTAA,0,916200000
1,OTAA,5,915800000
2,OTAA,5,916200000
3,OTAA,5,915600000
4,OTAA,5,916600000
5,OTAA,5,915800000
6,OTAA,5,916200000
7,OTAA,5,915400000
8,OTAA,5,916000000
9,OTAA,5,916600000
10,OTAA,5,915200000
11,OTAA,5,916200000
12,OTAA,5,915600000
13,OTAA,5,915200000
14,OTAA,5,915400000
15,OTAA,5,915200000
16,OTAA,5,915600000
17,OTAA,5,916600000
18,OTAA,5,915800000
0,OTAA,0,915600000
1,OTAA,3,915400000
2,OTAA,5,915200000
3,OTAA,5,915400000
4,OTAA,5,916600000
5,OTAA,5,915400000
6,OTAA,5,916000000
7,OTAA,5,915800000
8,OTAA,5,915400000
9,OTAA,5,916200000
10,OTAA,5,916600000
11,OTAA,5,916200000
12,OTAA,5,915600000
13,OTAA,5,916600000
14,OTAA,5,915600000
15,OTAA,5,915200000
16,OTAA,5,916000000
17,OTAA,5,915400000
19,OTAA,5,915600000
0,OTAA,0,916400000
1,OTAA,4,915200000
2,OTAA,4,916400000
3,OTAA,4,916000000
4,OTAA,4,915800000
5,OTAA,4,915200000
6,OTAA,4,915800000
7,OTAA,4,916000000
9,OTAA,4,916400000
10,OTAA,4,916200000
11,OTAA,4,915600000
12,OTAA,4,916200000
13,OTAA,4,916400000
14,OTAA,5,915400000
15,OTAA,5,915600000
16,OTAA,5,915800000
17,OTAA,5,916600000
18,OTAA,5,916200000
19,OTAA,5,916600000
20,OTAA,5,916200000
21,OTAA,5,915400000
22,OTAA,5,916600000
23,OTAA,5,916200000
24,OTAA,5,916600000
25,OTAA,5,915800000
26,OTAA,5,915400000
27,OTAA,5,916400000
28,OTAA,5,915200000
29,OTAA,5,916600000
30,OTAA,5,916000000
31,OTAA,5,916400000
32,OTAA,5,915400000
33,OTAA,5,916400000
34,OTAA,5,916600000
0,OTAA,0,915400000
1,OTAA,0,915200000
2,OTAA,1,915600000
3,OTAA,1,915400000
6,OTAA,1,916000000
7,OTAA,1,915400000
9,OTAA,1,916600000
11,OTAA,2,915800000
12,OTAA,2,916200000
13,OTAA,3,916600000
14,OTAA,3,915600000
16,OTAA,4,915200000
17,OTAA,4,915800000
18,OTAA,4,915200000
19,OTAA,4,915800000
20,OTAA,4,916600000
