fCnt,freq,bw,sf,cr,rssi,channel,timestamp
0,916400000,125,7,4/5,-34,6,715449204
1,915600000,125,7,4/5,-29,2,716523211
2,915400000,125,7,4/5,-36,1,717599227
3,916200000,125,7,4/5,-31,5,718675244
4,916000000,125,7,4/5,-33,4,719751267
5,915800000,125,7,4/5,-24,3,720827275
6,915200000,125,7,4/5,-30,0,721903299
7,915600000,125,7,4/5,-35,2,722979307
8,915800000,125,7,4/5,-42,3,724055323
9,916400000,125,7,4/5,-46,6,725131340
10,915400000,125,7,4/5,-41,1,726207355
11,915200000,125,7,4/5,-37,0,727283371
12,916000000,125,7,4/5,-40,4,728359387
13,916200000,125,7,4/5,-37,5,729435404
14,916200000,125,7,4/5,-36,5,730511420
15,915400000,125,7,4/5,-37,1,731587435
16,916000000,125,7,4/5,-36,4,732663451
17,915200000,125,7,4/5,-37,0,733739467
18,915800000,125,7,4/5,-35,3,734815475
19,915600000,125,7,4/5,-37,2,735891499
20,916400000,125,7,4/5,-52,6,736967516
21,916000000,125,7,4/5,-57,4,738043531
22,915200000,125,7,4/5,-37,0,739119547
23,915800000,125,7,4/5,-47,3,740195555
24,915400000,125,7,4/5,-53,1,741271571
25,916400000,125,7,4/5,-50,6,742347588
26,916200000,125,7,4/5,-61,5,743423612
27,915600000,125,7,4/5,-53,2,744499619
28,915600000,125,7,4/5,-54,2,745575635
29,915400000,125,7,4/5,-51,1,746651651
30,916200000,125,7,4/5,-53,5,747727668
31,916400000,125,7,4/5,-58,6,748803684
32,915800000,125,7,4/5,-63,3,749879699
33,915200000,125,7,4/5,-78,0,750955723
34,916000000,125,7,4/5,-59,4,752031739
35,915200000,125,7,4/5,-67,0,753107755
36,915800000,125,7,4/5,-60,3,754183763
37,916200000,125,7,4/5,-61,5,755259780
38,916000000,125,7,4/5,-65,4,756335803
39,916400000,125,7,4/5,-67,6,757411812
40,915600000,125,7,4/5,-64,2,758487827
41,915400000,125,7,4/5,-72,1,759563843
42,916000000,125,7,4/5,-68,4,760639867
43,915800000,125,7,4/5,-52,3,761715875
44,915400000,125,7,4/5,-61,1,762791891
45,915200000,125,7,4/5,-61,0,763867915
46,916200000,125,7,4/5,-63,5,764943924
47,916400000,125,7,4/5,-73,6,766019940
48,915600000,125,7,4/5,-64,2,767095955
49,916200000,125,7,4/5,-56,5,768171972
50,916400000,125,7,4/5,-59,6,769247988
51,915200000,125,7,4/5,-59,0,770324011
52,915400000,125,7,4/5,-61,1,771400019
53,915600000,125,7,4/5,-55,2,772476035
54,915800000,125,7,4/5,-69,3,773552051
55,916000000,125,7,4/5,-58,4,774628075
56,916200000,125,7,4/5,-63,5,775704084
57,916000000,125,7,4/5,-63,4,776780107
58,916400000,125,7,4/5,-69,6,777856116
59,915600000,125,7,4/5,-61,2,778932131
60,915400000,125,7,4/5,-71,1,780008147
61,915800000,125,7,4/5,-60,3,781084163
62,915200000,125,7,4/5,-61,0,782160187
63,915800000,125,7,4/5,-60,3,783236195
64,916000000,125,7,4/5,-60,4,784312219
65,915200000,125,7,4/5,-61,0,785388235
66,916200000,125,7,4/5,-53,5,786464244
67,916400000,125,7,4/5,-57,6,787540260
68,915400000,125,7,4/5,-67,1,788616275
69,915600000,125,7,4/5,-51,2,789692291
70,915800000,125,7,4/5,-52,3,790768307
71,916200000,125,7,4/5,-60,5,791844324
72,916000000,125,7,4/5,-58,4,792920339
73,915200000,125,7,4/5,-56,0,793996355
74,916400000,125,7,4/5,-51,6,795072372
75,915400000,125,7,4/5,-61,1,796148387
76,915600000,125,7,4/5,-63,2,797224403
77,915600000,125,7,4/5,-55,2,798300419
78,915800000,125,7,4/5,-48,3,799376427
79,916200000,125,7,4/5,-48,5,800452452
80,915200000,125,7,4/5,-57,0,801528467
81,915400000,125,7,4/5,-51,1,802604483
82,916000000,125,7,4/5,-51,4,803680499
83,916400000,125,7,4/5,-58,6,804756508
84,916200000,125,7,4/5,-50,5,805832532
85,915200000,125,7,4/5,-57,0,806908547
86,915800000,125,7,4/5,-55,3,807984555
87,916400000,125,7,4/5,-48,6,809060572
88,915400000,125,7,4/5,-45,1,810136587
89,916000000,125,7,4/5,-57,4,811212603
90,915600000,125,7,4/5,-41,2,812288619
91,915200000,125,7,4/5,-43,0,813364635
92,916400000,125,7,4/5,-42,6,814440652
93,916000000,125,7,4/5,-50,4,816800683
94,915800000,125,7,4/5,-65,3,817876691
95,915600000,125,7,4/5,-51,2,818952715
96,915400000,125,7,4/5,-59,1,820028731
97,916200000,125,7,4/5,-54,5,821104748
98,915600000,125,7,4/5,-52,2,822180755
99,915400000,125,7,4/5,-57,1,823256771
100,916000000,125,7,4/5,-57,4,824332795
101,915200000,125,7,4/5,-60,0,825408811
102,916400000,125,7,4/5,-60,6,826484820
103,915800000,125,7,4/5,-52,3,827560835
104,916200000,125,7,4/5,-51,5,828636860
105,915800000,125,7,4/5,-54,3,829712859
106,915400000,125,7,4/5,-55,1,830788883
107,916400000,125,7,4/5,-55,6,831864892
108,916200000,125,7,4/5,-54,5,832940908
109,915600000,125,7,4/5,-54,2,834016923
110,916000000,125,7,4/5,-55,4,835092939
111,915200000,125,7,4/5,-54,0,836168955
112,915800000,125,7,4/5,-54,3,837244963
113,915200000,125,7,4/5,-55,0,838320987
114,915600000,125,7,4/5,-53,2,839396995
115,916400000,125,7,4/5,-59,6,840473012
116,916200000,125,7,4/5,-58,5,841549028
117,915400000,125,7,4/5,-55,1,842625043
118,916000000,125,7,4/5,-60,4,843701059
119,915600000,125,7,4/5,-57,2,844777067
120,916000000,125,7,4/5,-59,4,845853091
121,916400000,125,7,4/5,-54,6,846929100
123,916200000,125,7,4/5,-52,5,851021420
124,915800000,125,7,4/5,-53,3,852097163
125,915200000,125,7,4/5,-55,0,853173187
126,916200000,125,7,4/5,-53,5,854249204
127,916000000,125,7,4/5,-55,4,855325219
128,915800000,125,7,4/5,-55,3,856401227
129,915200000,125,7,4/5,-55,0,857477243
130,915600000,125,7,4/5,-53,2,858553259
131,916400000,125,7,4/5,-54,6,859629268
132,915400000,125,7,4/5,-54,1,860705283
133,916200000,125,7,4/5,-54,5,861781300
134,915400000,125,7,4/5,-55,1,862857315
135,915800000,125,7,4/5,-53,3,863933323
136,916400000,125,7,4/5,-51,6,865009340
137,916000000,125,7,4/5,-54,4,866085363
138,915600000,125,7,4/5,-55,2,867161371
139,915200000,125,7,4/5,-55,0,868237387
140,916000000,125,7,4/5,-55,4,869313403
141,916400000,125,7,4/5,-50,6,870389412
142,916200000,125,7,4/5,-51,5,873405724
143,915600000,125,7,4/5,-53,2,874481467
144,915800000,125,7,4/5,-54,3,875557483
145,915400000,125,7,4/5,-58,1,876633499
146,915200000,125,7,4/5,-55,0,877709515
147,916000000,125,7,4/5,-52,4,878785531
148,915800000,125,7,4/5,-53,3,879861539
149,915600000,125,7,4/5,-57,2,880937555
150,915400000,125,7,4/5,-52,1,882013571
151,916200000,125,7,4/5,-53,5,883089588
152,915200000,125,7,4/5,-57,0,884165603
153,916400000,125,7,4/5,-61,6,885241612
154,915800000,125,7,4/5,-54,3,886317627
155,915200000,125,7,4/5,-62,0,887393643
156,916000000,125,7,4/5,-58,4,888469659
157,915600000,125,7,4/5,-54,2,889545675
158,915400000,125,7,4/5,-54,1,890621691
159,916400000,125,7,4/5,-52,6,891697700
160,916200000,125,7,4/5,-53,5,892773716
161,915200000,125,7,4/5,-55,0,893849731
162,916200000,125,7,4/5,-45,5,894925748
163,916000000,125,7,4/5,-66,4,896001763
164,916400000,125,7,4/5,-52,6,897077772
165,915800000,125,7,4/5,-59,3,898153787
166,915400000,125,7,4/5,-52,1,899229803
167,915600000,125,7,4/5,-48,2,900305819
168,916000000,125,7,4/5,-48,4,901381835
169,915800000,125,7,4/5,-49,3,902457843
170,916200000,125,7,4/5,-47,5,903533860
171,916400000,125,7,4/5,-54,6,904609876
172,915600000,125,7,4/5,-47,2,905685891
173,915400000,125,7,4/5,-48,1,906761907
174,915200000,125,7,4/5,-51,0,907837923
175,915400000,125,7,4/5,-46,1,908913931
176,915600000,125,7,4/5,-47,2,909989947
177,916200000,125,7,4/5,-47,5,911065964
178,916000000,125,7,4/5,-49,4,912141979
179,916400000,125,7,4/5,-46,6,913217988
