fCnt,data,adr,dr,frequency
0,Inicio,False,5,916400000
1,-32,False,5,915600000
2,-37,False,5,915400000
3,-39,False,5,916200000
4,-33,False,5,916000000
5,-30,False,5,915800000
6,-42,False,5,915200000
7,-48,False,5,915600000
8,-46,False,5,915800000
9,-53,False,5,916400000
10,-53,False,5,915400000
11,-37,False,5,915200000
12,-54,False,5,916000000
13,-46,False,5,916200000
14,-47,False,5,916200000
15,-47,False,5,915400000
16,-45,False,5,916000000
17,-47,False,5,915200000
18,-45,False,5,915800000
19,-52,False,5,915600000
20,-46,False,5,916400000
21,-43,False,5,916000000
22,-41,False,5,915200000
23,-47,False,5,915800000
24,-71,False,5,915400000
25,-60,False,5,916400000
26,-62,False,5,916200000
27,-53,False,5,915600000
28,-58,False,5,915600000
29,-61,False,5,915400000
30,-57,False,5,916200000
31,-62,False,5,916400000
32,-62,False,5,915800000
33,-66,False,5,915200000
34,-61,False,5,916000000
35,-65,False,5,915200000
36,-70,False,5,915800000
37,-69,False,5,916200000
38,-60,False,5,916000000
39,-64,False,5,916400000
40,-62,False,5,915600000
41,-74,False,5,915400000
42,-76,False,5,916000000
43,-64,False,5,915800000
44,-67,False,5,915400000
45,-61,False,5,915200000
46,-60,False,5,916200000
47,-71,False,5,916400000
48,-60,False,5,915600000
49,-63,False,5,916200000
50,-69,False,5,916400000
51,-82,False,5,915200000
52,-61,False,5,915400000
53,-58,False,5,915600000
54,-62,False,5,915800000
55,-60,False,5,916000000
56,-67,False,5,916200000
57,-63,False,5,916000000
58,-73,False,5,916400000
59,-71,False,5,915600000
60,-70,False,5,915400000
61,-65,False,5,915800000
62,-64,False,5,915200000
63,-65,False,5,915800000
64,-63,False,5,916000000
65,-67,False,5,915200000
66,-54,False,5,916200000
67,-60,False,5,916400000
68,-59,False,5,915400000
69,-49,False,5,915600000
70,-57,False,5,915800000
71,-56,False,5,916200000
72,-63,False,5,916000000
73,-57,False,5,915200000
74,-51,False,5,916400000
75,-61,False,5,915400000
76,-53,False,5,915600000
77,-67,False,5,915600000
78,-52,False,5,915800000
79,-65,False,5,916200000
80,-73,False,5,915200000
81,-58,False,5,915400000
82,-51,False,5,916000000
83,-49,False,5,916400000
84,-50,False,5,916200000
85,-50,False,5,915200000
86,-62,False,5,915800000
87,-61,False,5,916400000
88,-53,False,5,915400000
89,-58,False,5,916000000
90,-47,False,5,915600000
91,-48,False,5,915200000
92,-48,False,5,916400000
93,-59,False,5,916000000
94,-49,False,5,915800000
95,-47,False,5,915600000
96,-47,False,5,915400000
97,-46,False,5,916200000
98,-48,False,5,915600000
99,-48,False,5,915400000
100,-45,False,5,916000000
101,-51,False,5,915200000
102,-47,False,5,916400000
103,-50,False,5,915800000
104,-48,False,5,916200000
105,-49,False,5,915800000
106,-48,False,5,915400000
107,-45,False,5,916400000
108,-50,False,5,916200000
109,-48,False,5,915600000
110,-46,False,5,916000000
111,-48,False,5,915200000
112,-45,False,5,915800000
113,-48,False,5,915200000
114,-47,False,5,915600000
115,-49,False,5,916400000
116,-50,False,5,916200000
117,-49,False,5,915400000
118,-47,False,5,916000000
119,-48,False,5,915600000
120,-47,False,5,916000000
121,-47,False,5,916400000
123,Sem resposta,False,5,916200000
124,-48,False,5,915800000
125,-48,False,5,915200000
126,-46,False,5,916200000
127,-49,False,5,916000000
128,-49,False,5,915800000
129,-47,False,5,915200000
130,-46,False,5,915600000
131,-48,False,5,916400000
132,-50,False,5,915400000
133,-47,False,5,916200000
134,-49,False,5,915400000
135,-46,False,5,915800000
136,-47,False,5,916400000
137,-49,False,5,916000000
138,-47,False,5,915600000
139,-46,False,5,915200000
140,-45,False,5,916000000
141,-48,False,5,916400000
142,Sem resposta,False,5,916200000
143,-51,False,5,915600000
144,-47,False,5,915800000
145,-45,False,5,915400000
146,-47,False,5,915200000
147,-45,False,5,916000000
148,-47,False,5,915800000
149,-45,False,5,915600000
150,-48,False,5,915400000
151,-47,False,5,916200000
152,-51,False,5,915200000
153,-46,False,5,916400000
154,-51,False,5,915800000
155,-49,False,5,915200000
156,-47,False,5,916000000
157,-46,False,5,915600000
158,-47,False,5,915400000
159,-45,False,5,916400000
160,-49,False,5,916200000
161,-50,False,5,915200000
162,-48,False,5,916200000
163,-49,False,5,916000000
164,-60,False,5,916400000
165,-59,False,5,915800000
166,-56,False,5,915400000
167,-57,False,5,915600000
168,-54,False,5,916000000
169,-52,False,5,915800000
170,-63,False,5,916200000
171,-52,False,5,916400000
172,-53,False,5,915600000
173,-50,False,5,915400000
174,-46,False,5,915200000
175,-48,False,5,915400000
176,-45,False,5,915600000
177,-46,False,5,916200000
178,-47,False,5,916000000
179,-47,False,5,916400000
180,-49,False,5,915800000
181,-47,False,5,915200000
182,-47,False,5,916400000
183,-48,False,5,915200000
184,-49,False,5,915600000
185,-46,False,5,915800000
186,-46,False,5,916000000
187,-45,False,5,916200000
188,-46,False,5,915400000
189,-52,False,5,916200000
190,-47,False,5,916400000
191,-48,False,5,915400000
192,-47,False,5,916000000
193,-48,False,5,915200000
194,-46,False,5,915800000
195,-47,False,5,915600000
196,-48,False,5,915800000
197,-47,False,5,916200000
198,-45,False,5,915200000
199,-49,False,5,916400000
200,-45,False,5,916000000
201,-48,False,5,915600000
202,-47,False,5,915400000
203,-48,False,5,915200000
204,-47,False,5,915400000
205,-47,False,5,916000000
206,-45,False,5,916200000
207,-44,False,5,915800000
208,-46,False,5,915600000
209,-47,False,5,916400000
210,-44,False,5,916200000
211,-45,False,5,915800000
212,-47,False,5,915400000
213,-47,False,5,915200000
214,-47,False,5,916400000
215,-45,False,5,915600000
216,-46,False,5,916000000
217,-46,False,5,915800000
218,-47,False,5,915600000
219,-46,False,5,916400000
220,-44,False,5,915200000
221,-46,False,5,915400000
222,-46,False,5,916200000
223,-44,False,5,916000000
224,Sem resposta,False,5,915400000
225,-47,False,5,916400000
226,-45,False,5,915200000
227,-46,False,5,916200000
228,-45,False,5,915800000
229,-46,False,5,915600000
230,-47,False,5,916000000
231,-45,False,5,915600000
232,-46,False,5,915800000
233,-46,False,5,916200000
234,-44,False,5,915400000
235,-46,False,5,916000000
236,-47,False,5,915200000
237,-47,False,5,916400000
238,-45,False,5,915800000
239,-45,False,5,916000000
240,-45,False,5,915400000
241,-46,False,5,915600000
242,-45,False,5,916200000
243,-45,False,5,916400000
244,-44,False,5,915200000
245,-46,False,5,915600000
246,-45,False,5,915400000
247,-54,False,5,916000000
248,-46,False,5,916400000
249,-43,False,5,916200000
250,-44,False,5,915200000
251,-49,False,5,915800000
252,-56,False,5,916000000
253,-44,False,5,915200000
254,-47,False,5,916400000
255,-49,False,5,915800000
256,-50,False,5,916200000
257,-52,False,5,915400000
258,-51,False,5,915600000
259,-46,False,5,915600000
260,-56,False,5,915400000
261,-46,False,5,915800000
262,-42,False,5,916200000
263,-49,False,5,916000000
264,-48,False,5,916400000
265,-42,False,5,915200000
266,-43,False,5,915600000
267,-36,False,5,915200000
268,-34,False,5,916400000
269,-41,False,5,915400000
270,-50,False,5,916000000
271,-61,False,5,916200000
272,-48,False,5,915800000
273,-41,False,5,915600000
274,-45,False,5,915200000
275,-61,False,5,915800000
276,-41,False,5,915400000
277,-50,False,5,916200000
278,-51,False,5,916000000
279,-63,False,5,916400000
280,-62,False,5,915200000
281,-66,False,5,916200000
282,-62,False,5,915400000
283,-62,False,5,916000000
284,-63,False,5,916400000
285,-63,False,5,915600000
286,-57,False,5,915800000
287,-58,False,5,915600000
288,-56,False,5,916000000
289,-58,False,5,916200000
290,-77,False,5,915800000
291,-65,False,5,915200000
292,-60,False,5,915400000
293,-54,False,5,916400000
294,-56,False,5,915200000
295,-73,False,5,915400000
296,-71,False,5,916000000
297,-74,False,5,915600000
298,-65,False,5,916400000
299,-71,False,5,915800000
300,-67,False,5,916200000
301,-70,False,5,915400000
302,-66,False,5,915600000
303,-73,False,5,915200000
304,-71,False,5,916400000
305,-70,False,5,915800000
306,-76,False,5,916000000
307,-71,False,5,916200000
308,-82,False,5,915400000
309,-80,False,5,915800000
310,-83,False,5,916400000
311,-77,False,5,916000000
312,-83,False,5,915600000
313,-76,False,5,916200000
314,-88,False,5,915200000
315,-83,False,5,915400000
316,-76,False,5,916200000
317,-83,False,5,915600000
318,-79,False,5,915800000
319,-75,False,5,916400000
320,-83,False,5,915200000
321,-82,False,5,916000000
322,-78,False,5,915800000
323,-70,False,5,916000000
324,-78,False,5,916400000
325,-77,False,5,915200000
326,-75,False,5,915600000
327,-74,False,5,915400000
328,-94,False,5,916200000
329,-86,False,5,916000000
330,-80,False,5,915400000
331,-78,False,5,915600000
332,-83,False,5,916400000
333,-86,False,5,915800000
334,-74,False,5,915200000
335,-83,False,5,916200000
336,-82,False,5,916200000
337,-77,False,5,916400000
338,-82,False,5,915600000
339,-79,False,5,916000000
340,-78,False,5,915200000
341,-73,False,5,915400000
342,-68,False,5,915800000
343,-65,False,5,916400000
344,-83,False,5,916200000
345,-61,False,5,915200000
346,-59,False,5,915600000
347,-59,False,5,915800000
348,-59,False,5,915400000
349,-63,False,5,916000000
350,-63,False,5,915600000
351,-69,False,5,915400000
352,-80,False,5,916400000
353,-69,False,5,915800000
354,-90,False,5,916200000
355,-74,False,5,916000000
356,-79,False,5,915200000
357,-85,False,5,915400000
358,-77,False,5,915200000
359,-79,False,5,915600000
360,-81,False,5,916400000
361,-76,False,5,915800000
362,-77,False,5,916200000
363,-76,False,5,916000000
364,-75,False,5,916400000
365,-77,False,5,915600000
366,-80,False,5,915800000
367,-79,False,5,916200000
368,-79,False,5,915400000
369,-76,False,5,916000000
370,-79,False,5,915200000
371,-76,False,5,916400000
372,-81,False,5,915200000
373,-86,False,5,915600000
374,Sem resposta,False,5,916000000
375,-71,False,5,915400000
376,-79,False,5,916200000
377,-79,False,5,915800000
378,-78,False,5,915200000
379,-74,False,5,916200000
380,-75,False,5,915400000
381,-76,False,5,915600000
382,-82,False,5,916000000
383,-81,False,5,916400000
384,-79,False,5,915800000
385,-83,False,5,915600000
386,-96,False,5,915400000
387,-84,False,5,915800000
388,-85,False,5,915200000
389,-79,False,5,916400000
390,-78,False,5,916200000
391,-80,False,5,916000000
392,-81,False,5,915400000
393,-79,False,5,915600000
394,-85,False,5,916000000
395,-91,False,5,916400000
396,-80,False,5,915200000
397,-77,False,5,916200000
398,-90,False,5,915800000
399,-78,False,5,915400000
400,-75,False,5,916000000
401,-74,False,5,916400000
402,-78,False,5,915800000
403,-85,False,5,916200000
404,-81,False,5,915200000
405,-82,False,5,915600000
406,-81,False,5,915400000
407,-85,False,5,915600000
408,-85,False,5,915200000
409,-77,False,5,916000000
410,-78,False,5,916400000
411,-77,False,5,915800000
412,-79,False,5,916200000
413,-77,False,5,915400000
414,-77,False,5,916000000
415,-78,False,5,915800000
416,-76,False,5,915200000
417,-80,False,5,916400000
418,-79,False,5,916200000
419,-76,False,5,915600000
420,-79,False,5,915600000
421,-80,False,5,916000000
