frequency,bandwidth,spreadingFactor,codeRate,timestamp,rssi,loraSnr,channel,rfChain,latitude,longitude,altitude,adr,adrAckReq,fCnt,fOpts
916400000,125,7,4/5,715449204,-34,9.8,6,1,0,0,0,False,False,0,False
915600000,125,7,4/5,716523211,-29,7.2,2,0,0,0,0,False,False,1,False
915400000,125,7,4/5,717599227,-36,9,1,0,0,0,0,False,False,2,False
916200000,125,7,4/5,718675244,-31,9,5,1,0,0,0,False,False,3,False
916000000,125,7,4/5,719751267,-33,9.8,4,1,0,0,0,False,False,4,False
915800000,125,7,4/5,720827275,-24,9.2,3,0,0,0,0,False,False,5,False
915200000,125,7,4/5,721903299,-30,8.2,0,0,0,0,0,False,False,6,False
915600000,125,7,4/5,722979307,-35,7.5,2,0,0,0,0,False,False,7,False
915800000,125,7,4/5,724055323,-42,8.8,3,0,0,0,0,False,False,8,False
916400000,125,7,4/5,725131340,-46,10.8,6,1,0,0,0,False,False,9,False
915400000,125,7,4/5,726207355,-41,10,1,0,0,0,0,False,False,10,False
915200000,125,7,4/5,727283371,-37,9.8,0,0,0,0,0,False,False,11,False
916000000,125,7,4/5,728359387,-40,9.8,4,1,0,0,0,False,False,12,False
916200000,125,7,4/5,729435404,-37,10,5,1,0,0,0,False,False,13,False
916200000,125,7,4/5,730511420,-36,10,5,1,0,0,0,False,False,14,False
915400000,125,7,4/5,731587435,-37,10.2,1,0,0,0,0,False,False,15,False
916000000,125,7,4/5,732663451,-36,9.8,4,1,0,0,0,False,False,16,False
915200000,125,7,4/5,733739467,-37,9.5,0,0,0,0,0,False,False,17,False
915800000,125,7,4/5,734815475,-35,9.8,3,0,0,0,0,False,False,18,False
915600000,125,7,4/5,735891499,-37,7.5,2,0,0,0,0,False,False,19,False
916400000,125,7,4/5,736967516,-52,9,6,1,0,0,0,False,False,20,False
916000000,125,7,4/5,738043531,-57,10,4,1,0,0,0,False,False,21,False
915200000,125,7,4/5,739119547,-37,9.2,0,0,0,0,0,False,False,22,False
915800000,125,7,4/5,740195555,-47,9.5,3,0,0,0,0,False,False,23,False
915400000,125,7,4/5,741271571,-53,8.2,1,0,0,0,0,False,False,24,False
916400000,125,7,4/5,742347588,-50,9.2,6,1,0,0,0,False,False,25,False
916200000,125,7,4/5,743423612,-61,9.2,5,1,0,0,0,False,False,26,False
915600000,125,7,4/5,744499619,-53,7.2,2,0,0,0,0,False,False,27,False
915600000,125,7,4/5,745575635,-54,7.2,2,0,0,0,0,False,False,28,False
915400000,125,7,4/5,746651651,-51,9,1,0,0,0,0,False,False,29,False
916200000,125,7,4/5,747727668,-53,9,5,1,0,0,0,False,False,30,False
916400000,125,7,4/5,748803684,-58,9,6,1,0,0,0,False,False,31,False
915800000,125,7,4/5,749879699,-63,10.2,3,0,0,0,0,False,False,32,False
