gateway,endnode
-34,-32
-29,-37
-36,-39
-31,-33
-33,-30
-24,-42
-30,-48
-35,-46
-42,-53
-46,-53
-41,-37
-37,-54
-40,-46
-37,-47
-36,-47
-37,-45
-36,-47
-37,-45
-35,-52
-37,-46
-52,-43
-57,-41
-37,-47
-47,-71
-53,-60
-50,-62
-61,-53
-53,-58
-54,-61
-51,-57
-53,-62
-58,-62
-63,-66
-78,-61
-59,-65
-67,-70
-60,-69
-61,-60
-65,-64
-67,-62
-64,-74
-72,-76
-68,-64
-52,-67
-61,-61
-61,-60
-63,-71
-73,-60
-64,-63
-56,-69
-59,-82
-59,-61
-61,-58
-55,-62
-69,-60
-58,-67
-63,-63
-63,-73
-69,-71
-61,-70
-71,-65
-60,-64
-61,-65
-60,-63
-60,-67
-61,-54
-53,-60
-57,-59
-67,-49
-51,-57
-52,-56
-60,-63
-58,-57
-56,-51
-51,-61
-61,-53
-63,-67
-55,-52
-48,-65
-48,-73
-57,-58
-51,-51
-51,-49
-58,-50
-50,-50
-57,-62
-55,-61
-48,-53
-45,-58
-57,-47
-41,-48
-43,-48
-42,-59
-50,-49
-65,-47
-51,-47
-59,-46
-54,-48
-52,-48
-57,-45
-57,-51
-60,-47
-60,-50
-52,-48
-51,-49
-54,-48
-55,-45
-55,-50
-54,-48
-54,-46
-55,-48
-54,-45
-54,-48
-55,-47
-53,-49
-59,-50
-58,-49
-55,-47
-60,-48
-57,-47
-59,-47
-52,-48
-53,-48
-55,-46
-53,-49
-55,-49
-55,-47
-55,-46
-53,-48
-54,-50
-54,-47
-54,-49
-55,-46
-53,-47
-51,-49
-54,-47
-55,-46
-55,-45
-55,-48
-51,-51
-53,-47
-54,-45
-58,-47
-55,-45
-52,-47
-53,-45
-57,-48
-52,-47
-53,-51
-57,-46
-61,-51
-54,-49
-62,-47
-58,-46
-54,-47
-54,-45
-52,-49
-53,-50
-55,-48
-45,-49
-66,-60
-52,-59
-59,-56
-52,-57
-48,-54
-48,-52
-49,-63
-47,-52
-54,-53
-47,-50
-48,-46
-51,-48
-46,-45
-47,-46
-47,-47
-49,-47
-46,-49
-52,-47
-48,-47
-47,-48
-51,-49
-46,-46
-48,-46
-49,-45
-48,-46
-48,-52
-53,-47
-48,-48
-50,-47
-49,-48
-48,-46
-45,-47
-51,-48
-51,-47
-49,-45
-52,-49
-48,-45
-49,-48
-47,-47
-46,-48
-47,-47
-47,-47
-48,-45
-46,-44
-48,-46
-45,-47
-48,-44
-47,-45
-45,-47
-44,-47
-45,-47
-47,-45
-45,-46
-46,-46
-46,-47
-46,-46
-47,-44
-46,-46
-51,-46
-47,-44
-46,-47
-45,-45
-47,-46
-46,-45
-47,-46
-45,-47
-47,-45
-46,-46
-45,-46
-46,-44
-46,-46
-48,-47
-47,-47
-48,-45
-48,-45
-48,-45
-46,-46
-47,-45
-46,-45
-51,-44
-48,-46
-45,-45
-46,-54
-48,-46
-45,-43
-46,-44
-49,-49
-49,-56
-49,-44
-47,-47
-47,-49
-45,-50
-61,-52
-45,-51
-43,-46
-39,-56
-45,-46
-42,-42
-40,-49
-52,-48
-43,-42
-43,-43
-35,-36
-34,-34
-35,-41
-40,-50
-47,-61
-52,-48
-48,-41
-39,-45
-47,-61
-63,-41
-42,-50
-57,-51
-49,-63
-53,-62
-51,-66
-65,-62
-57,-62
-55,-63
-61,-63
-55,-57
-69,-58
-59,-56
-58,-58
-54,-77
-61,-65
-65,-60
-55,-54
-48,-56
-77,-73
-63,-71
-72,-74
-69,-65
-69,-71
-72,-67
-69,-70
-64,-66
-67,-73
-69,-71
-73,-70
-71,-76
-77,-71
-63,-82
-68,-80
-81,-83
-82,-77
-82,-83
-75,-76
-77,-88
-77,-83
-73,-76
-83,-83
-66,-79
-85,-75
-72,-83
-83,-82
-83,-78
-76,-70
-75,-78
-83,-77
-71,-75
-77,-74
-69,-94
-76,-86
-72,-80
-82,-78
-90,-83
-79,-86
-72,-74
-75,-83
-81,-82
-75,-77
-76,-82
-83,-79
-78,-78
-75,-73
-71,-68
-72,-65
-65,-83
-69,-61
-54,-59
-60,-59
-71,-59
-64,-63
-70,-63
-60,-69
-61,-80
-77,-69
-69,-90
-69,-74
-73,-79
-89,-85
-77,-77
-71,-79
-77,-81
-75,-76
-70,-77
-67,-76
-77,-75
-75,-77
-70,-80
-72,-79
-81,-79
-78,-76
-82,-79
-87,-76
-76,-81
-85,-86
-73,-71
-76,-79
-76,-79
-78,-78
-83,-74
-89,-75
-84,-76
-85,-82
-87,-81
-85,-79
-78,-83
-78,-96
-79,-84
-81,-85
-93,-79
-85,-78
-84,-80
-90,-81
-87,-79
-86,-85
-83,-91
-79,-80
-77,-77
-69,-90
-67,-78
-69,-75
-75,-74
-77,-78
-71,-85
-69,-81
-70,-82
-70,-81
-69,-85
-69,-85
-73,-77
-70,-78
-70,-77
-68,-79
-69,-77
-70,-77
-69,-78
-69,-76
-70,-80
-72,-79
-72,-76
-67,-79
-69,-80
-71,-80
-71,-78
-73,-83
-73,-84
-71,-83
-70,-83
-68,-80
-71,-81
-69,-82
-71,-80
-70,-79
-75,-82
-79,-86
-76,-77
-75,-88
-78,-79
-73,-85
-75,-84
-66,-86
-81,-80
-81,-80
-78,-86
-79,-83
-73,-78
-70,-81
-79,-81
-83,-85
-73,-78
-76,-83
-71,-82
-83,-88
-74,-84
-85,-77
-79,-75
-73,-75
-71,-84
-70,-90
-77,-94
-75,-80
-81,-74
-72,-78
-70,-79
-83,-80
-72,-82
-81,-79
-78,-83
-79,-77
-85,-79
-79,-85
-75,-83
-79,-80
-75,-78
-72,-74
-76,-76
-73,-77
-72,-78
-77,-79
-76,-78
-73,-74
-82,-82
-73,-91
-77,-80
-77,-79
-78,-86
-75,-84
-78,-79
-76,-82
-75,-92
-78,-78
-77,-82
-76,-92
-76,-93
-77,-77
-76,-78
-77,-76
-83,-79
-81,-78
-74,-82
-76,-77
-73,-79
-75,-83
-76,-83
-75,-80
-72,-81
-78,-77
-81,-77
-83,-77
-81,-81
-79,-80
-84,-78
-82,-78
-81,-79
-82,-80
-89,-81
-82,-84
-81,-78
-84,-79
-78,-78
-84,-79
-79,-81
-77,-81
-81,-81
-79,-80
-79,-80
-79,-82
-79,-80
-81,-80
-83,-73
-73,-83
-73,-73
-75,-81
-77,-76
-70,-68
-67,-78
-84,-77
-72,-80
-71,-70
-64,-74
-76,-71
-72,-61
-65,-82
-69,-64
-73,-68
-75,-66
-63,-69
-63,-62
-57,-61
-66,-68
-67,-64
-59,-63
-59,-76
-63,-66
-60,-64
-54,-65
-65,-66
-67,-71
-63,-64
-65,-73
-66,-67
-61,-63
-66,-64
-61,-94
-63,-64
-75,-73
-70,-77
-61,-66
-73,-78
-67,-65
-64,-61
-68,-62
-57,-54
-55,-73
-54,-71
-54,-62
-60,-59
