fCnt,rssi,dr,freq
0,Inicio,5,916000000
1,Sem resposta,5,915800000
2,-44,5,916200000
3,-44,5,915200000
4,-45,5,915600000
5,Sem resposta,5,915400000
6,-57,5,916400000
7,-49,5,915200000
8,-53,5,915600000
9,Sem resposta,5,916400000
10,-49,5,915400000
11,-54,5,915800000
12,-52,5,916000000
13,Sem resposta,5,916200000
14,-49,5,915400000
15,-56,5,915200000
16,-54,5,916000000
17,Sem resposta,5,916200000
18,-49,5,916400000
19,-47,5,915600000
20,-51,5,915800000
21,Sem resposta,5,915400000
23,Sem resposta,5,915200000
24,-51,5,916000000
25,-47,5,915800000
26,-48,5,916400000
27,-45,5,916200000
28,-46,5,915400000
29,Sem resposta,5,916400000
30,-47,5,916000000
31,-48,5,915600000
32,-49,5,916200000
33,Sem resposta,5,915800000
34,-49,5,915200000
35,-53,5,916200000
36,-46,5,915600000
37,Sem resposta,5,915400000
38,-53,5,916400000
39,Sem resposta,5,915200000
40,-52,5,915800000
41,-51,5,916000000
42,-50,5,915600000
43,Sem resposta,5,916400000
44,-44,5,916000000
45,-49,5,915800000
46,-44,5,916200000
47,-48,5,915200000
48,Sem resposta,5,915400000
49,-46,5,916200000
50,-45,5,915200000
51,-50,5,915600000
52,Sem resposta,5,915800000
53,-42,5,916400000
54,-43,5,915400000
55,-42,5,916000000
56,Sem resposta,5,915200000
57,-40,5,915400000
58,-42,5,915800000
59,-41,5,915600000
60,Sem resposta,5,916200000
61,-31,5,916400000
62,-32,5,916000000
63,-33,5,916000000
64,Sem resposta,5,916200000
65,-47,5,915200000
66,-40,5,916400000
67,-44,5,915600000
68,Sem resposta,5,915800000
69,-44,5,915400000
70,-51,5,915600000
71,-48,5,915200000
72,Sem resposta,5,916000000
73,-50,5,916400000
74,-50,5,916200000
75,-51,5,915800000
76,Sem resposta,5,915400000
77,-48,5,916200000
78,-52,5,915800000
79,-59,5,915400000
80,Sem resposta,5,915600000
81,-62,5,916400000
82,-61,5,916000000
83,-56,5,915200000
84,-60,5,916200000
85,Sem resposta,5,916400000
86,-59,5,915600000
87,-66,5,915400000
88,-62,5,915800000
89,Sem resposta,5,916000000
90,-67,5,915200000
91,-73,5,916200000
92,-64,5,916400000
93,Sem resposta,5,916000000
94,-64,5,915200000
95,-59,5,915800000
96,-58,5,915400000
97,Sem resposta,5,915600000
98,-53,5,915600000
99,-50,5,915200000
100,-47,5,915800000
101,Sem resposta,5,916400000
102,-50,5,915400000
103,-49,5,916200000
104,-47,5,916000000
105,Sem resposta,5,915200000
106,-64,5,916000000
107,-58,5,916400000
108,-56,5,915800000
109,Sem resposta,5,915400000
110,-62,5,916200000
111,-56,5,915600000
112,-56,5,916000000
113,Sem resposta,5,915200000
114,-54,5,916200000
115,-73,5,915600000
116,-57,5,915400000
117,Sem resposta,5,915800000
118,-56,5,916400000
119,-82,5,915200000
120,-65,5,915400000
121,Sem resposta,5,916200000
122,-73,5,916400000
123,-75,5,915800000
124,-85,5,916000000
125,Sem resposta,5,915600000
126,-71,5,916000000
127,-62,5,915600000
128,-63,5,915800000
129,-73,5,916400000
130,Sem resposta,5,915200000
131,-79,5,916200000
132,-75,5,915400000
133,-66,5,916000000
134,Sem resposta,5,915600000
135,-66,5,915800000
136,-64,5,915400000
137,-71,5,915200000
