fCnt,freq,bw,sf,cr,rssi,channel,timestamp
0,915600000,125,7,4/5,-34,2,1790140899
1,916200000,125,7,4/5,-34,5,1791214908
2,915200000,125,7,4/5,-34,0,1792290931
3,915400000,125,7,4/5,-33,1,1793366939
4,916000000,125,7,4/5,-34,4,1794442955
5,916400000,125,7,4/5,-34,6,1795518972
6,915800000,125,7,4/5,-34,3,1796594987
7,915600000,125,7,4/5,-34,2,1797671003
8,915400000,125,7,4/5,-36,1,1798747019
9,916200000,125,7,4/5,-35,5,1799823036
10,916400000,125,7,4/5,-36,6,1800899052
11,916000000,125,7,4/5,-35,4,1801975075
12,915800000,125,7,4/5,-35,3,1803051083
13,915200000,125,7,4/5,-31,0,1804127107
14,916400000,125,7,4/5,-36,6,1805203116
15,915600000,125,7,4/5,-41,2,1806279131
16,915800000,125,7,4/5,-37,3,1807355147
17,915400000,125,7,4/5,-34,1,1808431171
19,916200000,125,7,4/5,-27,5,1812523492
20,915200000,125,7,4/5,-37,0,1813597251
21,916400000,125,7,4/5,-33,6,1814673260
22,916000000,125,7,4/5,-21,4,1815749283
23,915400000,125,7,4/5,-30,1,1816825299
24,915200000,125,7,4/5,-24,0,1817901299
25,915600000,125,7,4/5,-22,2,1818977315
26,915800000,125,7,4/5,-22,3,1820053331
27,916200000,125,7,4/5,-37,5,1821129348
28,915200000,125,7,4/5,-28,0,1822205363
29,915800000,125,7,4/5,-26,3,1823281379
30,915400000,125,7,4/5,-35,1,1824357395
31,915600000,125,7,4/5,-33,2,1825433411
32,916400000,125,7,4/5,-21,6,1826509428
33,916200000,125,7,4/5,-27,5,1827585452
34,916000000,125,7,4/5,-36,4,1828661467
35,916200000,125,7,4/5,-34,5,1829737484
36,915400000,125,7,4/5,-30,1,1830813499
37,915800000,125,7,4/5,-37,3,1831889515
38,916400000,125,7,4/5,-36,6,1832965532
39,915200000,125,7,4/5,-27,0,1834041547
40,916000000,125,7,4/5,-27,4,1835117571
41,915600000,125,7,4/5,-33,2,1836193579
42,916000000,125,7,4/5,-45,4,1837269603
43,916200000,125,7,4/5,-43,5,1838345620
44,915400000,125,7,4/5,-43,1,1839421635
45,915600000,125,7,4/5,-47,2,1840497651
46,915200000,125,7,4/5,-58,0,1841573667
47,916400000,125,7,4/5,-43,6,1842649684
48,915800000,125,7,4/5,-40,3,1843725699
49,916400000,125,7,4/5,-57,6,1844801716
50,915200000,125,7,4/5,-49,0,1845877739
51,915600000,125,7,4/5,-45,2,1846953747
52,915800000,125,7,4/5,-47,3,1848029763
53,916200000,125,7,4/5,-47,5,1849105788
54,915400000,125,7,4/5,-45,1,1850181803
55,916000000,125,7,4/5,-43,4,1851257819
56,915400000,125,7,4/5,-75,1,1852333835
57,915600000,125,7,4/5,-60,2,1853409851
58,915200000,125,7,4/5,-46,0,1854485875
59,915800000,125,7,4/5,-47,3,1855561883
60,916200000,125,7,4/5,-55,5,1856637908
61,916400000,125,7,4/5,-59,6,1857713924
62,916000000,125,7,4/5,-60,4,1858789939
63,915400000,125,7,4/5,-61,1,1859865955
64,915200000,125,7,4/5,-49,0,1860941971
65,915600000,125,7,4/5,-49,2,1862017987
66,916200000,125,7,4/5,-47,5,1863094004
67,916000000,125,7,4/5,-49,4,1864170027
68,916400000,125,7,4/5,-55,6,1865246036
69,915800000,125,7,4/5,-60,3,1868262347
70,916200000,125,7,4/5,-59,5,1869336108
71,916000000,125,7,4/5,-60,4,1870412123
72,915600000,125,7,4/5,-57,2,1871488139
73,915800000,125,7,4/5,-55,3,1874504443
74,915400000,125,7,4/5,-46,1,1875578203
75,916400000,125,7,4/5,-61,6,1876654220
76,915200000,125,7,4/5,-55,0,1877730243
77,915200000,125,7,4/5,-57,0,1878806259
78,916400000,125,7,4/5,-55,6,1879882268
79,916000000,125,7,4/5,-49,4,1880958291
80,915400000,125,7,4/5,-47,1,1882034307
81,915600000,125,7,4/5,-41,2,1883110323
82,915800000,125,7,4/5,-42,3,1884186331
83,916200000,125,7,4/5,-42,5,1885262356
84,915200000,125,7,4/5,-45,0,1886338371
85,915400000,125,7,4/5,-42,1,1887414387
86,916000000,125,7,4/5,-40,4,1888490411
87,915600000,125,7,4/5,-42,2,1889566419
88,916400000,125,7,4/5,-54,6,1890642436
89,916200000,125,7,4/5,-52,5,1891718460
90,915800000,125,7,4/5,-54,3,1892794467
91,916400000,125,7,4/5,-53,6,1893870492
92,915600000,125,7,4/5,-49,2,1894946507
93,915400000,125,7,4/5,-48,1,1896022523
94,916200000,125,7,4/5,-42,5,1897098540
95,916000000,125,7,4/5,-51,4,1898174563
96,915800000,125,7,4/5,-52,3,1899250571
97,915200000,125,7,4/5,-53,0,1900326595
98,916000000,125,7,4/5,-59,4,1901402611
99,915600000,125,7,4/5,-46,2,1902478627
100,916400000,125,7,4/5,-52,6,1903554644
101,915400000,125,7,4/5,-48,1,1904630659
102,915200000,125,7,4/5,-50,0,1905706675
103,915800000,125,7,4/5,-69,3,1906782691
104,916200000,125,7,4/5,-58,5,1907858708
105,915400000,125,7,4/5,-55,1,1908934691
106,915200000,125,7,4/5,-63,0,1910010747
107,916400000,125,7,4/5,-56,6,1911086764
108,915800000,125,7,4/5,-61,3,1912162771
109,916000000,125,7,4/5,-66,4,1913238795
110,915600000,125,7,4/5,-65,2,1914314811
111,916200000,125,7,4/5,-63,5,1915390828
112,916200000,125,7,4/5,-55,5,1916466844
113,915600000,125,7,4/5,-67,2,1917542859
114,915400000,125,7,4/5,-79,1,1918618883
115,916400000,125,7,4/5,-60,6,1919694900
116,916000000,125,7,4/5,-65,4,1920770915
117,915200000,125,7,4/5,-66,0,1921846931
118,915800000,125,7,4/5,-69,3,1922922947
119,915400000,125,7,4/5,-67,1,1923998963
120,915600000,125,7,4/5,-70,2,1925074979
121,915800000,125,7,4/5,-67,3,1926150995
122,916200000,125,7,4/5,-71,5,1927227020
123,916000000,125,7,4/5,-67,4,1928303035
124,915200000,125,7,4/5,-67,0,1929379051
125,916400000,125,7,4/5,-71,6,1930455068
126,915400000,125,7,4/5,-71,1,1931531083
127,915200000,125,7,4/5,-71,0,1932607107
128,916000000,125,7,4/5,-69,4,1933683123
129,916200000,125,7,4/5,-69,5,1934759140
130,915800000,125,7,4/5,-64,3,1935835147
131,916400000,125,7,4/5,-63,6,1936911172
132,915600000,125,7,4/5,-63,2,1939927483
133,915600000,125,7,4/5,-70,2,1941003235
134,916000000,125,7,4/5,-64,4,1942079259
135,916200000,125,7,4/5,-58,5,1943155268
136,915200000,125,7,4/5,-61,0,1944231291
137,915400000,125,7,4/5,-60,1,1945307307
138,916400000,125,7,4/5,-69,6,1946383324
139,915800000,125,7,4/5,-67,3,1947459339
140,916400000,125,7,4/5,-71,6,1948535356
141,915400000,125,7,4/5,-57,1,1949611379
142,916000000,125,7,4/5,-60,4,1950687395
143,915200000,125,7,4/5,-63,0,1951763411
144,915800000,125,7,4/5,-63,3,1952839427
145,915600000,125,7,4/5,-66,2,1953915443
146,916200000,125,7,4/5,-68,5,1954991468
147,916200000,125,7,4/5,-99,5,1956067484
148,916400000,125,7,4/5,-62,6,1957143492
149,916000000,125,7,4/5,-72,4,1958219515
150,915800000,125,7,4/5,-64,3,1959295531
151,915200000,125,7,4/5,-60,0,1960371555
152,915600000,125,7,4/5,-69,2,1961447563
153,915400000,125,7,4/5,-64,1,1962523587
154,915200000,125,7,4/5,-69,0,1963599603
155,915600000,125,7,4/5,-63,2,1964675619
156,916400000,125,7,4/5,-63,6,1965751636
157,915800000,125,7,4/5,-58,3,1966827651
158,916200000,125,7,4/5,-63,5,1967903676
159,916000000,125,7,4/5,-77,4,1968979691
160,915400000,125,7,4/5,-101,1,1970055707
161,915600000,125,7,4/5,-69,2,1971131723
162,916000000,125,7,4/5,-64,4,1972207739
163,915200000,125,7,4/5,-87,0,1973283763
164,915800000,125,7,4/5,-81,3,1974359771
165,915400000,125,7,4/5,-85,1,1975435795
166,916400000,125,7,4/5,-83,6,1976511812
167,916200000,125,7,4/5,-77,5,1977587828
168,916400000,125,7,4/5,-75,6,1978663844
169,915200000,125,7,4/5,-91,0,1979739867
170,916000000,125,7,4/5,-79,4,1980815883
171,916200000,125,7,4/5,-81,5,1981891900
172,915600000,125,7,4/5,-69,2,1982967915
173,915800000,125,7,4/5,-69,3,1984043931
174,915400000,125,7,4/5,-67,1,1985119955
175,916400000,125,7,4/5,-68,6,1986195972
176,915400000,125,7,4/5,-76,1,1987271987
177,915800000,125,7,4/5,-63,3,1988348003
178,916000000,125,7,4/5,-69,4,1989424027
179,916200000,125,7,4/5,-63,5,1990500044
180,915600000,125,7,4/5,-57,2,1991576051
181,915200000,125,7,4/5,-64,0,1992652075
182,915400000,125,7,4/5,-59,1,1993728091
183,915600000,125,7,4/5,-71,2,1994804107
184,916000000,125,7,4/5,-67,4,1995880131
185,915800000,125,7,4/5,-65,3,1996956139
186,916200000,125,7,4/5,-54,5,1999972460
187,915200000,125,7,4/5,-58,0,2001048211
188,916400000,125,7,4/5,-48,6,2002124228
189,916200000,125,7,4/5,-60,5,2003200244
190,916400000,125,7,4/5,-53,6,2004276260
191,915800000,125,7,4/5,-55,3,2005352275
192,915200000,125,7,4/5,-61,0,2006428299
193,915400000,125,7,4/5,-53,1,2007504315
194,915600000,125,7,4/5,-46,2,2010520627
195,916000000,125,7,4/5,-48,4,2011596387
196,915800000,125,7,4/5,-43,3,2012672395
197,916000000,125,7,4/5,-39,4,2013748419
198,916200000,125,7,4/5,-36,5,2014824436
199,915200000,125,7,4/5,-43,0,2015900459
200,916400000,125,7,4/5,-37,6,2016976468
201,915600000,125,7,4/5,-27,2,2018052483
202,915400000,125,7,4/5,-21,1,2019128507
203,915800000,125,7,4/5,-22,3,2020204523
204,915400000,125,7,4/5,-25,1,2021280539
205,916400000,125,7,4/5,-21,6,2022356556
206,916000000,125,7,4/5,-22,4,2023432579
207,916200000,125,7,4/5,-35,5,2024508596
208,915200000,125,7,4/5,-47,0,2025584611
209,915600000,125,7,4/5,-39,2,2026660627
210,915200000,125,7,4/5,-30,0,2027736651
211,915800000,125,7,4/5,-42,3,2028812659
212,916200000,125,7,4/5,-39,5,2029888684
213,915600000,125,7,4/5,-51,2,2030964699
214,916000000,125,7,4/5,-35,4,2032040715
215,915400000,125,7,4/5,-43,1,2033116731
