frame_count, rssi
128,Sem resposta
127,Sem resposta
126,-39
125,-36
124,Sem resposta
123,-28
122,Sem resposta
121,-46
120,-53
119,Sem resposta
118,-47
117,Sem resposta
116,-58
115,-56
114,Sem resposta
113,-66
112,-73
111,Sem resposta
110,-66
109,-74
108,Sem resposta
107,-68
106,Sem resposta
104,-70
103,Sem resposta
102,-73
101,-73
100,Sem resposta
99,-80
98,Sem resposta
97,-70
96,-79
95,Sem resposta
94,-84
93,Sem resposta
92,-73
91,-70
90,Sem resposta
89,-67
88,Sem resposta
87,-69
86,-74
85,Sem resposta
84,-64
83,Sem resposta
82,-68
81,-74
80,Sem resposta
79,-64
78,Sem resposta
77,-71
76,-79
75,Sem resposta
74,-79
73,Sem resposta
72,-77
71,-74
70,Sem resposta
69,-70
68,Sem resposta
67,-60
66,-73
65,Sem resposta
64,-67
63,Sem resposta
62,Sem resposta
61,-61
60,-59
59,Sem resposta
58,-48
57,-53
56,Sem resposta
55,-45
54,Sem resposta
53,-47
52,-50
51,Sem resposta
50,-66
49,Sem resposta
48,-64
47,-65
46,Sem resposta
45,-86
44,Sem resposta
43,-61
42,-64
41,Sem resposta
40,-67
39,Sem resposta
38,-59
37,-58
36,Sem resposta
35,-52
34,Sem resposta
33,-52
32,-43
31,Sem resposta
30,Sem resposta
29,-48
28,Sem resposta
27,-49
26,-51
25,Sem resposta
24,-40
23,Sem resposta
22,-61
21,-48
20,Sem resposta
19,-64
18,-47
17,Sem resposta
16,-45
15,Sem resposta
14,-43
13,-50
12,Sem resposta
11,-40
10,Sem resposta
9,-39
8,-34
7,Sem resposta
6,-48
5,Sem resposta
4,-36
3,-37
2,Sem resposta
1,-36
0,Inicio
