RSSI,FREQUÊNCIA,BW,SF,CR
-40,915600000,125,7,4/5
-46,916200000,125,7,4/5
-36,915400000,125,7,4/5
-41,916000000,125,7,4/5
-27,915200000,125,7,4/5
-42,916200000,125,7,4/5
-41,915800000,125,7,4/5
-43,916400000,125,7,4/5
-46,915600000,125,7,4/5
-53,915400000,125,7,4/5
-64,915200000,125,7,4/5
-65,916000000,125,7,4/5
-62,915400000,125,7,4/5
-76,916000000,125,7,4/5
-66,915200000,125,7,4/5
-66,915800000,125,7,4/5
-66,915600000,125,7,4/5
-60,916400000,125,7,4/5
-69,916200000,125,7,4/5
-60,916200000,125,7,4/5
-78,915600000,125,7,4/5
-66,915800000,125,7,4/5
-65,916000000,125,7,4/5
-66,915200000,125,7,4/5
-59,915400000,125,7,4/5
-60,916400000,125,7,4/5
-69,915600000,125,7,4/5
-60,915200000,125,7,4/5
-55,915400000,125,7,4/5
-61,916000000,125,7,4/5
-51,916200000,125,7,4/5
-52,915800000,125,7,4/5
-54,916400000,125,7,4/5
-49,916200000,125,7,4/5
-53,915200000,125,7,4/5
-45,915600000,125,7,4/5
-43,915400000,125,7,4/5
-49,916000000,125,7,4/5
-45,916400000,125,7,4/5
-48,915800000,125,7,4/5
-43,915800000,125,7,4/5
-51,916400000,125,7,4/5
-63,915600000,125,7,4/5
-43,916000000,125,7,4/5
-31,916200000,125,7,4/5
-37,915200000,125,7,4/5
-36,915600000,125,7,4/5
-40,916200000,125,7,4/5
-41,916000000,125,7,4/5
-37,916400000,125,7,4/5
-41,915800000,125,7,4/5
-39,915400000,125,7,4/5
-45,915200000,125,7,4/5
