fCnt,freq,bw,sf,cr,rssi,channel,timestamp
0,916200000,125,12,4/5,-37,5,1731677236
1,915800000,125,7,4/5,-33,3,1738077939
2,916200000,125,7,4/5,-49,5,1744153356
3,915600000,125,7,4/5,-35,2,1750228795
4,916600000,125,7,4/5,-32,7,1756304244
5,915800000,125,7,4/5,-42,3,1762379707
6,916200000,125,7,4/5,-54,5,1768455172
7,915400000,125,7,4/5,-41,1,1774527883
8,916000000,125,7,4/5,-41,4,1784198739
9,916600000,125,7,4/5,-40,7,1793689196
10,915200000,125,7,4/5,-47,0,1801925819
11,916200000,125,7,4/5,-47,5,1809959956
12,915600000,125,7,4/5,-43,2,1819730451
13,915200000,125,7,4/5,-63,0,1828393035
14,915400000,125,7,4/5,-83,1,1836600707
15,915200000,125,7,4/5,-65,0,1845181267
16,915600000,125,7,4/5,-57,2,1854909763
17,916600000,125,7,4/5,-83,7,1863521396
18,915800000,125,7,4/5,-103,3,1872089251
0,915600000,125,12,4/5,-99,2,1950329092
1,915400000,125,9,4/5,-90,1,1956863660
2,915200000,125,7,4/5,-88,0,1962967979
3,915400000,125,7,4/5,-85,1,1969043411
4,916600000,125,7,4/5,-88,7,1975118908
5,915400000,125,7,4/5,-90,1,1981194355
6,916000000,125,7,4/5,-98,4,1987269803
7,915800000,125,7,4/5,-79,3,1993342563
8,915400000,125,7,4/5,-91,1,1999418003
9,916200000,125,7,4/5,-87,5,2005490732
10,916600000,125,7,4/5,-84,7,2014113324
11,916200000,125,7,4/5,-85,5,2023699204
12,915600000,125,7,4/5,-100,2,2032616355
13,916600000,125,7,4/5,-89,7,2041022580
14,915600000,125,7,4/5,-97,2,2049300571
15,915200000,125,7,4/5,-103,0,2057236963
16,916000000,125,7,4/5,-101,4,2065440251
17,915400000,125,7,4/5,-101,1,2074156691
19,915600000,125,7,4/5,-102,2,2092126851
0,916400000,125,12,4/5,-101,6,2131429700
1,915200000,125,8,4/5,-103,0,2137881860
2,916400000,125,8,4/5,-102,6,2146758060
3,916000000,125,8,4/5,-101,4,2152882468
4,915800000,125,8,4/5,-102,3,2162113588
5,915200000,125,8,4/5,-103,0,2171344436
6,915800000,125,8,4/5,-105,3,2179737748
7,916000000,125,8,4/5,-105,4,2188803180
9,916400000,125,8,4/5,-100,6,2207680964
10,916200000,125,8,4/5,-102,5,2216759924
11,915600000,125,8,4/5,-103,2,2225146804
12,916200000,125,8,4/5,-103,5,2234947452
13,916400000,125,8,4/5,-99,6,2244842276
14,915400000,125,7,4/5,-95,1,2250928211
15,915600000,125,7,4/5,-93,2,2260746299
16,915800000,125,7,4/5,-95,3,2266821771
17,916600000,125,7,4/5,-99,7,2272897228
18,916200000,125,7,4/5,-93,5,2278969964
19,916600000,125,7,4/5,-99,7,2285045500
20,916200000,125,7,4/5,-93,5,2291118356
21,915400000,125,7,4/5,-90,1,2297195083
22,916600000,125,7,4/5,-102,7,2305586780
23,916200000,125,7,4/5,-94,5,2311662372
24,916600000,125,7,4/5,-98,7,2317737924
25,915800000,125,7,4/5,-94,3,2323810755
26,915400000,125,7,4/5,-97,1,2329886315
27,916400000,125,7,4/5,-97,6,2335959148
28,915200000,125,7,4/5,-103,0,2344531771
29,916600000,125,7,4/5,-100,7,2353786092
30,916000000,125,7,4/5,-101,4,2363508827
31,916400000,125,7,4/5,-103,6,2372926932
32,915400000,125,7,4/5,-102,1,2382163235
33,916400000,125,7,4/5,-101,6,2391755620
34,916600000,125,7,4/5,-105,7,2400400940
0,915400000,125,12,4/5,-103,1,2455246004
1,915200000,125,12,4/5,-106,0,2464829756
2,915600000,125,11,4/5,-105,2,2471920452
3,915400000,125,11,4/5,-105,1,2478738300
6,916000000,125,11,4/5,-107,4,2507568876
7,915400000,125,11,4/5,-103,1,2516832116
9,916600000,125,11,4/5,-103,7,2536404292
11,915800000,125,10,4/5,-102,3,2551354188
12,916200000,125,10,4/5,-103,5,2557768396
13,916600000,125,9,4/5,-103,7,2564049828
14,915600000,125,9,4/5,-105,2,2572281324
16,915200000,125,8,4/5,-100,0,2587052852
17,915800000,125,8,4/5,-103,3,2593177244
18,915200000,125,8,4/5,-101,0,2601288884
19,915800000,125,8,4/5,-94,3,2609939756
20,916600000,125,8,4/5,-99,7,2619473732
21,915600000,125,8,4/5,-90,2,2628094236
22,915800000,125,7,4/5,-95,3,2634180267
23,916000000,125,7,4/5,-96,4,2640255803
24,915800000,125,7,4/5,-87,3,2646331387
25,915200000,125,7,4/5,-89,0,2652406915
26,915400000,125,7,4/5,-94,1,2658482451
27,915600000,125,7,4/5,-101,2,2664557995
