fCnt,freq,bw,sf,cr,rssi,channel,timestamp
0,916000000,125,7,4/5,-36,4,3760777331
1,915800000,125,7,4/5,-36,3,3763791627
5,915400000,125,7,4/5,-38,1,3770033707
9,916400000,125,7,4/5,-42,6,3776275796
13,916200000,125,7,4/5,-43,5,3782517884
17,916200000,125,7,4/5,-42,5,3788759972
21,915400000,125,7,4/5,-59,1,3795002059
23,915200000,125,7,4/5,-79,0,3799092123
29,916400000,125,7,4/5,-53,6,3807486244
33,915800000,125,7,4/5,-63,3,3813728331
37,915400000,125,7,4/5,-63,1,3819970427
39,915200000,125,7,4/5,-47,0,3824060491
43,916400000,125,7,4/5,-43,6,3830302580
48,915400000,125,7,4/5,-41,1,3837620699
52,915800000,125,7,4/5,-48,3,3843862787
56,915200000,125,7,4/5,-31,0,3850104891
60,916200000,125,7,4/5,-36,5,3856346988
64,916200000,125,7,4/5,-43,5,3862589084
68,915800000,125,7,4/5,-35,3,3868831171
72,916000000,125,7,4/5,-57,4,3875073275
76,915400000,125,7,4/5,-43,1,3881315363
80,915600000,125,7,4/5,-49,2,3887557451
85,916400000,125,7,4/5,-60,6,3894875556
89,916000000,125,7,4/5,-49,4,3901117651
93,916000000,125,7,4/5,-58,4,3907359739
97,915600000,125,7,4/5,-49,2,3913601819
101,916400000,125,7,4/5,-45,6,3919843908
105,915200000,125,7,4/5,-61,0,3926086003
109,915400000,125,7,4/5,-69,1,3932328091
113,915200000,125,7,4/5,-53,0,3938570179
117,915800000,125,7,4/5,-55,3,3944812267
121,916200000,125,7,4/5,-75,5,3951054364
125,915600000,125,7,4/5,-63,2,3957296443
130,915200000,125,7,4/5,-65,0,3964614555
134,915600000,125,7,4/5,-59,2,3970856643
138,916200000,125,7,4/5,-64,5,3977100732
142,915800000,125,7,4/5,-61,3,3983344819
146,915400000,125,7,4/5,-67,1,3989588907
150,915200000,125,7,4/5,-72,0,3995833003
154,916000000,125,7,4/5,-69,4,4002075091
158,916400000,125,7,4/5,-78,6,4008319180
162,916000000,125,7,4/5,-75,4,4014563275
166,916400000,125,7,4/5,-66,6,4020807356
170,916400000,125,7,4/5,-56,6,4027051452
175,915600000,125,7,4/5,-57,2,4034371555
179,916200000,125,7,4/5,-73,5,4040615644
183,915200000,125,7,4/5,-59,0,4046859731
187,916000000,125,7,4/5,-53,4,4053103819
191,916400000,125,7,4/5,-53,6,4059347908
195,915200000,125,7,4/5,-58,0,4065591995
199,915400000,125,7,4/5,-54,1,4071836083
203,915400000,125,7,4/5,-75,1,4078080171
207,916000000,125,7,4/5,-57,4,4084324267
212,915200000,125,7,4/5,-76,0,4091644371
216,915600000,125,7,4/5,-78,2,4097888459
221,915200000,125,7,4/5,-79,0,4107136595
228,915200000,125,7,4/5,-65,0,4116608731
232,915200000,125,7,4/5,-51,0,4122852827
236,915800000,125,7,4/5,-76,3,4129096915
240,915600000,125,7,4/5,-71,2,4135341011
244,916200000,125,7,4/5,-69,5,4141585108
248,915800000,125,7,4/5,-76,3,4147829195
252,915200000,125,7,4/5,-73,0,4154073291
256,915600000,125,7,4/5,-62,2,4160317379
261,916400000,125,7,4/5,-65,6,4167637492
265,915800000,125,7,4/5,-67,3,4173881587
269,916000000,125,7,4/5,-73,4,4180125683
273,916400000,125,7,4/5,-76,6,4186369772
277,915600000,125,7,4/5,-65,2,4192613867
281,916200000,125,7,4/5,-57,5,4198857964
285,916400000,125,7,4/5,-48,6,4205102060
289,916000000,125,7,4/5,-51,4,4211346155
293,915200000,125,7,4/5,-36,0,4217590251
298,915800000,125,7,4/5,-36,3,4224910347
302,916400000,125,7,4/5,-20,6,4231154444
306,915400000,125,7,4/5,-30,1,4237398539
